ID	redshift	EW(Ha) MAST	EW(Ha) unc MAST	EW(Ha) JADES	EW(Ha) unc JADES	EW(Hb) MAST	EW(Hb) unc MAST	EW(Hb) JADES	EW(Hb) unc JADES	EW([OIII]) MAST	EW([OIII]) unc MAST	EW([OIII]) JADES	EW([OIII]) unc JADES
7892	4.22872754610498	-891.9884828480617	19.982615847460703 Angstrom	-946.0684125836426	33.06928327880766 Angstrom	-101.80237620269033	5.4480322277494455 Angstrom	-104.39342743064049	11.387821295100872 Angstrom	-984.9516325171376	12.769293906905695 Angstrom	-1056.516339270455	26.091910365348884 Angstrom
17260	4.88512714601353	-240.4536817396138	23.099885207024784 Angstrom	-322.15873713040526	41.336443877433176 Angstrom	-18.8015584264546	6.37306280598603 Angstrom	-33.11874653045888	13.506939546143585 Angstrom	-97.94963371817717	13.028102029826599 Angstrom	-139.17670769870142	23.311207262096854 Angstrom
10056849	5.8142066790736	-1951.0845933624705	65.81034559246602 Angstrom	-1701.6936918752708	96.57206077565446 Angstrom	-327.737646672852	36.74805525131034 Angstrom	-462.6628818084675	68.31630774268548 Angstrom	-1530.0066115505006	46.43606057885166 Angstrom	-1687.529823745294	92.8436500514846 Angstrom
10013618	5.94372301071691	-110.6842049625389	7.023037867301453 Angstrom	-114.93161004664248	10.262162852596532 Angstrom	-25.211006745238016	5.468520285463252 Angstrom	-22.655931233885067	7.897082839953155 Angstrom	-178.9764472140185	7.096105904871444 Angstrom	-166.56054116000468	11.803620596560624 Angstrom
18028	3.73094591607022	-103.90567649881547	13.0263275360799 Angstrom	-236.94707161391761	28.840971569479795 Angstrom	-9.144903676064045	8.757110214724698 Angstrom	-139.27264962857686	30.56198293280027 Angstrom	-93.48257846649551	18.198719126148927 Angstrom	-518.9946512806282	60.807493668967815 Angstrom
10013704	5.919825	-837.1990186780483	24.48178378473897 Angstrom	-908.1119914978209	47.873638958059956 Angstrom	-158.72571903439916	10.613393302236203 Angstrom	-152.71807634059823	16.673340210642927 Angstrom	-1026.4411054579682	18.072536425188567 Angstrom	-899.6859797908036	24.03437608386129 Angstrom
9743	5.44012039584156	-1123.9435671950405	123.83871588415566 Angstrom	-1004.1444602414957	200.71198172130866 Angstrom	-229.22613007478267	112.67501717108212 Angstrom	-444.86478491120374	209.3880868336468 Angstrom	-1995.8983345658608	183.97039414917722 Angstrom	-3280.449550906135	461.82331658907333 Angstrom
19519	3.60450973158305	-461.6023426263619	7.314098501662795 Angstrom	-491.9529129758247	16.060957847619946 Angstrom	-57.799382304700835	3.6206187805015166 Angstrom	-100.54217581616408	9.691690260334507 Angstrom	-665.9025185098803	7.568815888007606 Angstrom	-802.6709634772785	16.303239191292327 Angstrom
17566	6.101534	-329.51797944136206	17.904752797715897 Angstrom	-389.50071485392016	36.04993464977628 Angstrom	-49.65508966574964	8.193364742104697 Angstrom	-63.83796107426784	14.460004101160207 Angstrom	-459.4467574012307	16.04442780231326 Angstrom	-494.94162672712594	26.826524037982644 Angstrom
4197	3.748809	-44.25712563306576	16.446585918330385 Angstrom	-163.05080742852218	68.02823152936779 Angstrom	-86.34525003596868	124.43068204354348 Angstrom	-127.46654717751517	288.97310270145914 Angstrom	7.1849660437237555	50.05586968133682 Angstrom	-20.747320536271285	101.21428481198753 Angstrom
