ID	redshift	EW(Ha) MAST	DEW(Ha) MAST	EW(Ha) JADES	DEW(Ha) JADES	EW(Hb) MAST	DEW(Hb) MAST	EW(Hb) JADES	DEW(Hb) JADES	EW([OIII]) MAST	EW([OIII]) unc MAST	EW([OIII]) JADES	EW([OIII]) unc JADES	Ha_ini	Ha_end	Hb_ini	Hb_end	[OIII]_ini	[OIII]_end
7809	3.57819206358422	-288.479475150907	11.1259947818331	-270.959055149672	12.0155815671791	-29.7846466569785	3.4227160225151	-22.3501370095378	10.1585303026238	-390.643448530851	6.81443385133414	-375.774499187929	17.5474222073819	6506	6615	4809	4897	4927	5077
7892	4.22872754610498	-883.273336711241	16.6970280678042	-851.372585837736	24.7715627002979	-98.253754431016	11.6491077269506	-99.0273788719845	17.3036201335633	-1011.49554834293	23.6352226312375	-1092.02761805483	35.3829432939706	6510	6610	4811	4882	4930	5073
7938	4.80631123887867	-705.148702019985	18.0206004322128	-685.827320107036	20.0701258097299	-104.918465770794	20.0043829855455	-87.7219331645906	17.8781694212894	-1148.64156127926	30.252305230575	-1083.46308590439	32.1896499900908	6510	6608	4821	4901	4918	5060
8013	8.47315					-376.010786563457	109.150128988961	-299.75534186811	122.656468569652	-2074.39057218251	330.975136421946	-2473.25481522062	412.603515740436	6510	6608	4847	4881	4926	5033
8079	7.258982					-21.2725334749726	61.1085362878739	3.46595713699081	74.0257342712787	-190.771278182521	88.6992755456141	-153.235853438902	108.71858029737	6510	6620	4815	4910	4918	5060
8083	4.6487198664651	-1300.19253886093	33.2610185817506	-1308.62625476341	34.72590828295	-141.063196145077	11.2184499897683	-165.216687573161	19.8892749279888	-2001.5667915864	28.5260856952167	-2247.91655934604	39.8841143361294	6494	6630	4824	4887	4927	5072
8113	4.90277103561231	-478.207740175869	47.7215746891254	-486.364529893269	53.5181054097689	-104.087404053955	15.7530908759718	-97.9396434487081	14.3621139667407	-917.967135438188	23.6346063632263	-903.108038468269	28.7675982606441	6528	6699	4810	4884	4907	5046
9422	5.935895	-1887.6241175583	28.2462388023642	-1839.45724080352	37.0663392136427	-331.26386916047	27.0515708497968	-409.774497982011	41.11855614319	-2902.80117098458	67.5573666145139	-3643.85568250161	105.097720915684	6531	6600	4828	4891	4931	5064
9452	5.12243857379367	-716.412651683602	73.4108480814298	-576.639656937899	88.8047869903547	-48.4135822998542	33.5379424642172	-76.7028337828222	41.8908640589104	-916.347374808284	73.5810015101728	-800.177146796881	97.2466198107474	6540	6625	4815	4902	4945	5138
9743	5.44012039584156	-1183.70937909311	123.208743333824	-983.681781202769	128.129838983224	-231.52262858231	124.197513072555	-497.664459027174	172.631238243229	-1984.96846970698	183.590242719343	-2886.06134507942	293.553390272704	6537	6639	4788	4896	4913	5087
16625	6.630648	-2276.48516830194	102.386072472946	-2314.62014461498	97.6412378274905	-621.273982168835	123.598386738786	-444.954243562251	82.6012282113775	-3141.0892093717	304.553896726617	-2503.99892300682	229.512718467144	6541	6585	4828	4885	4912	5068
16745	5.56655234405774	-483.708223272633	31.4443527123076	-444.299586600641	33.143467828271	-68.2971108818514	7.64365440978044	-66.6401192562058	10.587546363176	-712.094968153424	17.7894117072885	-718.280147335846	24.6498069424357	6522	6637	4838	4897	4916	5067
17072	4.70200977971638	-156.325221681183	19.1114385926258	-161.657023309111	24.3481156275251	-14.4305122542014	10.4166066756496	-13.0686617601671	14.3970545638334	-212.16070596687	20.5942563313219	-198.214623774087	25.7445782739334	6514	6593	4810	4887	4908	5050
