ID	redshift	EW(Ha) MAST	DEW(Ha) MAST	EW(Ha) JADES	DEW(Ha) JADES	EW(Hb) MAST	DEW(Hb) MAST	EW(Hb) JADES	DEW(Hb) JADES	EW([OIII]) MAST	EW([OIII]) unc MAST	EW([OIII]) JADES	EW([OIII]) unc JADES	Ha_ini	Ha_end	Hb_ini	Hb_end	[OIII]_ini	[OIII]_end
18028	3.73094591607022	-111.4642760487167	16.179878692656946	-304.81482846993526	49.93621854983647	-9.538102311660136	9.993014449522311	-125.68507191244233	50.716657319998845	-92.39931199259705	19.114325728874682	-551.7453126979017	75.77374895512314	6502.0	6633.0	4793.0	4901.0	4903.0	5087.0
18090	4.77562372049334	-985.5614843353501	38.38493369900272	-927.7159483117315	49.199587568502686	-164.0984937764908	28.332919898780375	-211.87592088759462	30.94981438065906	-1948.2147195430996	51.375218749609765	-2320.0504769441272	55.653695396622815	6502.0	6622.0	4807.0	4899.0	4907.0	5075.0
18846	6.335054	-720.0213631013805	30.888961966840714	-783.1418509619481	44.052273050257845	-188.41163504108866	20.093948589366033	-221.42608119576673	24.257982626861963	-1295.9498451810675	46.712950866722515	-1428.2236760225642	46.19481039468872	6535.0	6615.0	4828.0	4891.0	4919.0	5043.0
18970	3.72458828704365			-192.44976046523394	10.380143815378851			-23.389457112221088	5.099180954611128			-256.03384801127856	9.831598173809851	6535.0	6615.0	4828.0	4891.0	4919.0	5043.0
18976	6.327052	-389.4287667106085	34.520315105878055	-960.8416432091541	127.0541280403178	-76.13897264795496	10.329558143671495	-162.44187632897885	30.8079225010196	-586.9941085427649	31.634969725236417	-1113.9518951683517	73.94269144755891	6541.0	6597.0	4838.0	4881.0	4931.0	5036.0
19342	5.974287	-544.2273689786522	42.49200032023859	-921.91758484035	115.13765232222022	-183.80492409410317	27.068795207670085	-314.36762584459575	71.33285748959757	-1048.3767808048613	47.02245451238297	-2046.397975844975	124.99837064970038	6506.0	6595.0	4830.0	4901.0	4918.0	5036.0
19519	3.60450973158305	-468.75869030578485	15.469264130234682	-469.9315384105411	17.09910497322665	-56.221850614045195	6.1486807652485345	-96.25691453992923	14.092818685383184	-676.0062321708859	12.193265362380512	-824.1404611858698	22.422434482476	6495.0	6629.0	4792.0	4901.0	4910.0	5079.0
19606	5.88913558713673	-1160.5590495486006	94.99396162763591	-1024.03470066426	90.20731873650278	-128.86414354110156	37.80579224982517	-154.97040755274514	38.04820206601773	-1163.343681329284	80.80560540504821	-1509.6154109041997	72.95811467446501	6532.0	6596.0	4833.0	4893.0	4934.0	5038.0
20961	7.04457065169479	195.94421727736062	40.000199792605	-131.86982794331004	33.455312545962826	-99.47411330676576	53.35312030317579	-150.17863429710567	50.01375765553749	-846.9971302357689	134.03881967807567	-826.3284475597277	96.21487115682758	6542.0	6569.0	4815.0	4890.0	4925.0	5044.0
22251	5.79838391626917	-902.563588001906	31.74153722738125	-1003.1741261765769	52.49369043422922	-178.72330236441158	33.155087371662816	-172.17277936634684	33.36760726200637	-1711.9947469266497	52.85143738628877	-1639.495575043342	56.94735956747925	6504.0	6605.0	4820.0	4896.0	4913.0	5041.0
10000626	4.46468607001795	-824.70767057975	108.8231905454805	-852.7768850947431	110.191359437548	-138.0133137414629	70.85029620669027	-236.34259646803284	118.25834829543848	-1066.8391521239687	94.82972983598623	-1268.3757034010905	191.72168090172445	6529.0	6615.0	4789.0	4889.0	4920.0	5068.0
10001587	3.43070237834676	-646.9983479608991	143.17449489758891	-467.5666548611182	104.93951157946103			-84.14834976031796	43.238339765250565	-149.30655092498398	47.112753631071065	-281.9461999146608	56.7970997907234	6502.0	6600.0	4831.0	4882.0	4928.0	5025.0
10001892	4.770522	-425.7849212092313	120.32957526786574	-442.70482229622957	139.89121332498823	-89.15286814266005	73.64246764368893	-90.49752697005387	74.79053705275759	-231.21963838113228	74.77566704328568	-230.29560722168196	108.15137524022195	6516.0	6595.0	4829.0	4905.0	4932.0	5027.0
10005113	5.820838	-1419.3262638849396	64.69340258261784	-1102.9496166905092	81.07279650703363	-652.2757470713655	157.0299730826675	-837.9184230412457	189.8970344772417	-2789.149364151599	211.33552942763416	-3360.6279740309615	268.6277533665864	6541.0	6597.0	4825.0	4899.0	4922.0	5034.0
10005217	4.8883230178694	-2623.352094845889	54.998549813712664	-2726.65404817813	60.868978014024734	-567.6924157725043	81.57514503138903	-932.4498926080219	141.64032828234068	-3142.632234526023	137.15667394413788	-4883.988985212067	230.82355542299445	6517.0	6603.0	4803.0	4892.0	4907.0	5060.0
10005447	6.62257640301802	46542.42334703721	17067.13651752436	-723.1372658909221	294.06155173534955	-295.85238564968614	203.34376858711565	-245.98266299317874	314.2153322335697	-1294.2266144775285	250.51621448655638	-1234.1855052909566	359.4783599121731	6524.0	6577.0	4835.0	4909.0	4925.0	5040.0
10009506	3.59928686455817	-607.1114418710026	12.438279005103354	-599.516990713081	17.43101250774381	-42.2529012132818	10.239646833937435	-52.2804429380289	7.465238812129945	-897.9380742594601	17.161965205097914	-947.5046477134541	16.921058593291086	6486.0	6619.0	4774.0	4883.0	4889.0	5086.0
10009693	6.28599376348805	-1007.297286994677	507.2591507807317	2531.7468233951845	2633.397655713869	-166.99381036237378	222.75399765728727	-23.639068140009172	95.81018725920912	-2472.768022696396	415.56712752731585	-852.7966822895839	214.53678283617094	6537.0	6619.0	4850.0	4896.0	4941.0	5034.0
10009848	4.37	-14.633081828339828	66.42457403458047	45.715210570566	61.63957269163081	3.7792766056869613	22.643143147589207	2.996371188590306	35.00087715923154	-14.34483704147247	44.266176254309606	-0.4649969459403892	62.307585799799455	6530.0	6660.0	4815.0	4900.0	4906.0	5058.0
10013545	4.03498294164463	-420.79466903332343	23.326743467790248	-467.33982673590714	55.47072663062581	-87.06473847473802	14.06973082841772	-248.7215118370943	69.47495839914575	-685.5815456055433	17.464819169988356	-694.9333455771294	92.0876841006066	6510.0	6636.0	4782.0	4903.0	4919.0	5088.0
10013609	6.928894	2879.483890779959	162.0864375387689	-4345.161349531586	1763.1484680998713	-189.20400782328423	30.410043045436943	-218.58306745078067	49.13690771002498	-2114.2136720620438	95.30745553161319	-1940.1884779177149	113.71903726632885	6545.0	6595.0	4829.0	4881.0	4922.0	5042.0
10013618	5.94372301071691	-128.24511391843652	8.671769847772444	-116.13611032348544	8.759984705096722	-24.761319920608805	7.10490986534171	-22.98590250711795	8.740772101379507	-180.213884345772	8.084653296185309	-165.4683504420435	11.393857458008608	6536.0	6589.0	4792.0	4895.0	4923.0	5047.0
10013620	5.91753186734937	-332.4969018838585	25.12906104965397	-409.3377183909297	28.978230406214152	-73.39599622673698	15.391329515187046	-68.91711932674843	20.101592805963506	-529.6440919315336	29.821492771828165	-563.9489164843162	48.874522390582726	6535.0	6595.0	4820.0	4898.0	4906.0	5078.0
10013704	5.919825	-771.3674169959419	29.16406974624182	-760.9621165146332	41.90625989049776	-149.1703227374641	23.635551499265393	-142.14201152073426	27.100966732436625	-1078.2231697207435	35.94872610661983	-975.344967638631	35.80737798772305	6470.0	6624.0	4820.0	4902.0	4923.0	5044.0
10013905	7.197212					-687.4002215194708	139.5393434783719	-476.7989959006403	155.59426886749466	-3471.9814179208697	220.57175242651698	-2983.9171339338545	224.94721542788824	6470.0	6624.0	4820.0	4902.0	4923.0	5044.0
10015338	5.07627227996806	-1409.6523006666548	78.78971263027027	-1427.8251006697085	67.56024549383635	-158.00151590959194	40.21009812651989	-129.8993431528486	37.85005308893451	-1238.3230354919851	52.03774519561764	-1206.441202933578	58.37710924806782	6512.0	6600.0	4795.0	4889.0	4918.0	5062.0
10016186	3.92792643507394	-266.20186206068615	10.05165823875903	-262.9195064982565	10.724731143954322	-41.45366757210251	7.008222178425363	-36.36345723881067	8.383728884538394	-316.32934882995096	9.288593638145286	-348.0931735995032	13.210516363721073	6510.0	6615.0	4791.0	4906.0	4923.0	5066.0
10016374	5.50325569707072	-745.1284533940516	31.03817697608301	-786.4961442237825	51.19329621839197	-156.83144730475607	28.599323767706615	-138.79088232990495	30.128790609958195	-1468.0606826568767	43.52739452311797	-1434.032776390751	52.82554048890414	6506.0	6614.0	4825.0	4904.0	4923.0	5059.0
10035295	3.58892350772953	-1230.2592936533329	30.839720088522647	-1031.0057889612533	29.785352269420887	-154.35880892312036	36.342986507444216	-153.07929887667265	35.04380498162993	-1795.183257523735	59.94641797464524	-1715.9839019245414	46.789283283795704	6492.0	6627.0	4757.0	4874.0	4896.0	5086.0
10056849	5.8142066790736	-2659.776762769131	102.24427093980883	-1830.519286273964	90.1865760311928	-312.99994924353854	71.75874740753021	-404.9892921349146	78.20042991326761	-1725.7688643198612	91.26939195849364	-2059.599964126428	129.1417604250936	6539.0	6596.0	4818.0	4897.0	4934.0	5042.0
