ID	redshift	LF(Ha) MAST	LF err(Ha) MAST	LF(Ha) JADES	LF err(Ha) JADES	LF(Hb) MAST	LF err(Hb) MAST	LF(Hb) JADES	LF err(Hb) JADES	LF([OIII]4959) MAST	LF err([OIII]4959) MAST	LF([OIII]4959) JADES	LF err([OIII]4959) JADES	LF([OIII]5007) MAST	LF err([OIII]5007) MAST	LF([OIII]5007) JADES	LF err([OIII]5007) JADES
3184	3.46762	1.7179673664998318	0.0290414643823143	1.3014928698365855	0.0176735911829971	0.7560468984581279	0.0440538237609881	0.4489596261229292	0.0267785927368464	1.4768366912653168	0.0345681434282779	0.8627717315082316	0.0210131408151773	3.7303989507338486	0.04591391113835	2.310048755765149	0.0279089207570472
3334	6.70593	0.0421918820208433	0.0043776908421429	0.0545295231564897	0.0042755042709748	0.0013599717803942	0.005645955019622	0.0198795927696648	0.0060313730794997	0.0219154236301595	0.006256351218441	0.0456634558757165	0.0066838814412437	0.0681417714991032	0.0061505716627955	0.1285148566036896	0.0056905432877464
3968	5.76847043540196	0.0473436508195147	0.0066002453786	0.045446128507266	0.0068128183464535	0.029714849687968	0.012039220458132	0.0164625392217381	0.0124174015564022	0.0409844490178351	0.0146744184178603	0.054790828716056	0.0150925480093367	0.090029721872037	0.010161916955666	0.1022090465157591	0.0104810578619298
4197	3.748809	0.05276743675065525	0.0077903234068183	0.0799662704384599	0.0151177702358046												
4270	4.02261238702772	2.367985551109208		2.5473577000465424		0.8545588535194059	0.0363090150794196	0.5899291203235849	0.0187434166259964	1.4873995689247226	0.0407127312031157	1.3597162335805166	0.0220265468929293	4.4839718835121545	0.0399735283309214	3.8334220665080734	0.0207073885100072
4282	3.599695	0.0715851648159173	0.0122829088121121	0.1595350725753724	0.0261842231534365	-0.0047626046671374	0.0200538401246159	0.0350317677232573	0.0426798080924705	0.0417608928493416	0.0215802745340918	0.1432614181693991	0.0503185467912476	0.0946097258647274	0.0189063425013319	0.1434368576966005	0.0402443523008058
4297	6.712776	0.1629858690657852	0.0042019499889347	0.1849734287256341	0.0148924972335716	0.0423709498341307	0.0059149295453746	0.0450634607625252	0.0235147883086549	0.0776147490856537	0.0065638792118677	0.1190706504518502	0.0260951196046856	0.2929010473412455	0.0071953480531558	0.3625134821425568	0.0286069897467573
4404	5.763688	0.3437167952643091	0.0054529643490276	0.4455424211615839	0.0091710868435125	0.1269747713332905	0.0099574740728738	0.0797465186780447	0.0149680833817634	0.2329649709488153	0.011355716997665	0.2827232171891399	0.0190333253481681	0.6840033334469877	0.0102787628449357	0.7682029856128029	0.0172746029401645
5329	3.5873007444784	0.22575555987835835	0.0129006189603597	0.24711163134095385	0.0202199213643226	0.0320747336141927	0.0117902059697471	0.0304121544411658	0.0184432423411122	0.1217965897050971	0.017899380469653	0.1081026526798133	0.0280028499651621	0.3204356106007019	0.0192332907519921	0.2871746602728818	0.0300902565345599
5457	4.8631511339788																
5759	5.05189382127941	0.2128430225880985	0.0121781128953737	0.2244752306110641	0.0097345202273572	0.11344654978316365	0.0247971930370857	0.08739950307090069	0.0217024384373243	0.1527830707323438	0.0238577582005323	0.1570369611377919	0.0190599587225301	0.4595461473216028	0.0313667316886138	0.3147974161679142	0.026414296960614
6002	5.93685818347379	0.1251900374111372	0.0024423764571217	0.1427191332561983	0.0031124842591016	0.03861315047857	0.0044561738668086	0.0466210637950701	0.0063403600480636	0.0679308037773321	0.0033184864216805	0.0926396451156855	0.0054524278359665	0.2106196195385947	0.0042012835881993	0.2390197068903412	0.0053473206472915
6246	5.56159788939357	0.0891197638278137	0.0065774653462187	0.1102745635885604	0.0042419522181754	0.0622200070382259	0.0134256439448394	0.0548196370238909	0.007735671916245	0.0669881008529767	0.0128845486518086	0.056840605828895	0.0081324752404038	0.1663502996697117	0.0138529411322599	0.1801069055808206	0.0079821390295466
6384	5.61541238216689	0.0145823538005663	0.0042334651732456	0.0835483559591354	0.0113962061253926	0.0515403646543648	0.0094581503331775	0.1364895593203467	0.0227425811061575	0.0305151966556535	0.0082926239441084	0.1040010623210198	0.019940544742548	0.0711300258013126	0.0081388654209481	0.1305922530156247	0.0175055969013315
7507	4.04428024657048	0.4192753263846279		0.4506706400227603		0.1956244765301129	0.0211460830939949	0.143816091526359	0.0258492036322499	0.3400250215333104	0.0216916844386425	0.266810462290009	0.0286452383100828	0.7480842924808754	0.0184401933390251	0.6244334955363309	0.0222318971065849
7624	4845	0.0071355443823808	0.006626795333538	0.005520582325488	0.0141911127782879					0.02862539673282205	0.022283685442160403	0.09548371668004879	0.0395526489664355	0.0304814531301064	0.01860651509919775	0.061128471438923554	0.03137746324570205
7762	4.14863310108243	0.6670693680287327		0.7455598340622925		0.1737700711799444	0.0074692733452245	0.2191017411006182	0.0105078174205466	0.4244527713677923	0.0087939296775785	0.4244062929907853	0.0123733039900659	1.2206367577354746	0.0086184085552957	1.1641887735142893	0.0121274666039153
7809	3.57819206358422	0.774573130528161		0.8280613078361254		0.2041612889469464	0.0423195916696826	0.2998839490451007	0.0326735555523402	0.8313220436167233	0.0514836845980482	0.6646699326439246	0.0444442782890864	1.8039135123125143	0.0437061225445	1.4196733773835533	0.0377326018446764
7892	4.22872754610498	0.4804581998828899		0.5680725653090187		0.1563931190336141	0.0093819701216762	0.153791837985627	0.0102482031640538	0.3451415798005967	0.0098769420890751	0.3449299900781369	0.0107913690915895	0.9570453450986824	0.0124947733104974	0.9396245428911846	0.0136520732619113
7938	4.80631123887867	0.4361361848854183		0.5582220017793867	0.0223950351148934	0.179612360631839	0.0192802867427987	0.1796030766747297	0.0250949243187038	0.28622172986235994	0.017161120289895	0.3568923893247251	0.02539594735983755	1.0959562506043528	0.0247558236013756	1.3070706363655973	0.038871056440823254
8013	8.47315					0.02740619556649	0.0077286630871322	0.0203846893372002	0.0200316951001439	0.0218437449305537	0.0066260584279038	0.0449730393759266	0.0171773218599885	0.088918610878707	0.0072794850078722	0.1455405306285628	0.0188725162861969
8079	7.258982					-0.0047665262140894	0.0030899703238946	-0.0082975212948498	0.0046640538052572	0.001483717648809	0.0051381554337027	0.0112727543532656	0.0077574526885044	0.0103142926672306	0.0041142916547422	0.0025482214240738	0.0062118335024443
8083	4.6487198664651	1.4238338336138507		1.7311664769330837		0.4457761715293969		0.4740003801684141									
8113	4.90277103561231	0.2541607570678364	0.0075890532718365	0.3024519836411761	0.0063828934282956					0.2050155705703752	0.0148701687924704	0.2144770656934592	0.0136855392179055	0.6584423224781022	0.0145981953010706	0.6347985104662445	0.0109698213597147
9422	5.935895					0.2394244990958508	0.0061832054896669	0.2261093802811354	0.0085944946797683	0.4389651040119236	0.0059369394612448	0.5629277523432826	0.0092272079856393	1.3020147268932658	0.0069037053177148	1.6251706162642865	0.0107030409765921
9452	5.12243857379367	0.2274329233604702	0.0172755757048672	0.2641243834861668	0.030705121021002	0.1141712640119938	0.0361089399164349	-0.0893515293589946	0.0729174782524428	0.18880511176146952	0.0361213280998716	0.0299767739561455	0.06716390138468525	0.5997889108616785	0.039631795305548945	0.5723812615866752	0.0767925740421091
9743	5.44012039584156	0.2469264901012775	0.0073816071393242	0.3817435388921265	0.0177996210159413	0.03676491818220955	0.013478674814508	0.05718086865132905	0.0324479671347626	0.0920687954928619	0.0112137664231004	0.1290583948959187	0.0269955265900541	0.244381421672252	0.0155495023399416	0.3580161528881417	0.0374340121948474
16625	6.630648	0.1293343902942584	0.0017476006936136	0.2140314930104062	0.0024408414583365	0.046390377749489	0.0045293850923614	0.0964082109714784	0.0057472804080482	0.0533472410625866	0.0030760245062108	0.0790234754518542	0.0049383206266796	0.2205839751260239	0.0049177671436495	0.2970692119508216	0.0072530784078819
16745	5.56655234405774	0.3095443619087535		0.3303341435697181		0.0789375045645543		0.0612879277568853									
17072	4.70200977971638	0.0822778496531014		0.0871574297879256		0.0028219915892288	0.0102018687877015	0.0135906924945955	0.0119689535669542	0.049609322575955	0.0098130425712996	0.0260323879167891	0.0115169975788371	0.1137270977065035	0.0107543320045435	0.1023171881052639	0.0112926607206004
17260	4.88512714601353	0.0611259889919376	0.0058493264416802	0.0738839587816958	0.008326406222396	0.004747790288892	0.0086950207570728	0.007991576171006	0.0096901265180949	0.004300727895447549	0.00880791782220865	0.018764118991361666	0.01023067897003175	0.05541038654754821	0.01336231602074205	0.04801776517286495	0.0159001746880367
17566	6.101534	0.271500888340231	0.0095180578051796	0.2172286540746825	0.007283358244546	0.1071371706143903	0.0194789435868689	0.0841184157766067	0.0132798875370943	0.246306015273298	0.0204821742694175	0.1529525543351028	0.0139668866622268	0.759525444554784	0.023212325496853	0.4895451527215458	0.0167896865961075
17777	4.13366013096712	0.1495993929057633		0.1542062954846881						0.1252276950247529	0.0100793781466174	0.1351537379565935	0.0166483525387396	0.3243218647633263	0.0106840735708428	0.3470194218637946	0.017649791141468
18028	3.73094591607022	0.1129812184254846	0.0117971845736787	0.1804233810443198	0.0143047174083736	0.0555643323798139	0.0264369621739444	0.1429652418302706	0.0368423652644719	0.0533576079758928	0.0189379237253008	0.044996889650437	0.0223986033523375	0.1737294624391864	0.0203440652992462	0.1737937977486847	0.0290594313947202
