ID	redshift	Flux (Ha 6563) MAST G395H	F_err(Ha 6563) MAST G395H	Optimal dline (Ha 6563) MAST G395H	Flux (Hb 4861) MAST G395H	F_err(Hb 4861) MAST G395H	Optimal dline (Hb 4861) MAST G395H	Flux ([OIII]4959) MAST G395H	F_err([OIII]4959) MAST G395H	Optimal dline ([OIII]4959) MAST G395H	Flux ([OIII]5007) MAST G395H	F_err([OIII]5007) MAST G395H	Optimal dline ([OIII]5007) MAST G395H	Flux ([NII]6583) MAST G395H	F_err([NII]6583) MAST G395H	Optimal dline ([NII]6583) MAST G395H	Flux (Ha 6563) JADES G395H	F_err(Ha 6563) JADES G395H	Optimal dline (Ha 6563) JADES G395H	Flux (Hb 4861) JADES G395H	F_err(Hb 4861) JADES G395H	Optimal dline (Hb 4861) JADES G395H	Flux ([OIII]4959) JADES G395H	F_err([OIII]4959) JADES G395H	Optimal dline ([OIII]4959) JADES G395H	Flux ([OIII]5007) JADES G395H	F_err([OIII]5007) JADES G395H	Optimal dline ([OIII]5007) JADES G395H	Flux ([NII]6583) JADES G395H	F_err([NII]6583) JADES G395H	Optimal dline ([NII]6583) JADES G395H
9452	5.12243857379367	1.5920378044547294	0.13708592293610902	5.0	0.8822093238222601	0.23418988496093932	5.0	1.4116751870213649	0.23703984369327752	5.0	3.509077519124156	0.22051583785452944	5.0	0.1278424812901083	0.12924468975189835	5.0	1.798409399947464	0.4127663089580999	5.0	1.6690957837220457	0.5331592737813685	5.0	0.38001797869595766	0.48600557154342805	5.0	3.2213641634788988	0.5270470291667199	5.5	0.37458171441565374	0.38920874963009566	5.0
9743	5.44012039584156	1.3967902894482267	0.11856166492969135	5.0	0.3836149848989299	0.1279115882831944	5.0	0.6779184926156777	0.12281059969010101	5.0	1.8972257272373714	0.12042682953007466	5.0	0.05481523514802997	0.11781278505494945	5.0	5.183489198237835	0.5858823414321505	9.5	1.631628799968988	0.38761711306872176	7.5	1.6291330716823387	0.30410274384017233	5.0	3.4483820020568134	0.2983000818124541	5.0	0.6018843247308014	0.4224649724024453	5.0
16625	6.630648			5.0	0.3085161426064247	0.042244976287280904	5.0	0.5508232134659213	0.038621345995685334	5.0	1.5719442835533357	0.03972266869198557	5.0			5.0			5.0	0.4319961388081318	0.10153272175946172	5.0	1.3119385366994039	0.10189745434289338	5.0	2.534503817737008	0.09995312302392056	5.0			5.0
16745	5.56655234405774	2.136155133945955	0.05794789966505754	4.5	0.6853565760768447	0.05708506187806061	4.5	1.8392533049156434	0.05776408636105566	5.0	4.9894513813447094	0.053728060664575354	4.5	0.15173015614468446	0.06044386264498208	5.0	2.1102508198352363	0.0968579760380938	4.5	0.7352952411126704	0.12927362828469807	5.0	1.4905757653939882	0.11784040283949222	5.0	4.390092494359483	0.12184451891471221	5.0	0.05270252420335013	0.10147784439706514	5.0
17072	4.70200977971638	0.37128131325975977	0.03605804464094146	5.0			5.0			5.0			5.0	0.013128453161389997	0.03583199506567448	5.0	0.373217500400799	0.06997011677938496	4.5			5.0			5.0			5.0	0.05463774887074101	0.07376425462457777	5.0
17260	4.88512714601353																0.48522228368156384	0.07246682105001703	5.0			5.0	0.07172345579862137	0.08900736793238617	5.0	0.18535916475016911	0.1333666937907302	12.0	0.06573165943113896	0.07202716290453051	5.0
17566	6.101534																		5.0	0.3854000710823236	0.23270157526917248	5.0	0.5498106911883197	0.22359513443755435	5.0	3.128743141999102	0.21932865864125156	5.0			5.0
17777	4.13366013096712	0.6890219618399572	0.05060445630730045	5.0			5.0			5.0			5.0	0.0754788621326274	0.05029067038342994	5.0	0.7540688969630727	0.107186131092775	4.5			5.0			5.0			5.0	0.40379795148952163	0.14518386365281727	8.0
18028	3.73094591607022	0.43682535878663475	0.08934374906315898	5.0			5.0			5.0			5.0	0.13098335413770676	0.08877918021595337	5.0	0.9338175618721871	0.20934191443784156	5.0			5.0			5.0			5.0	0.07519611944699336	0.22243814430253994	5.0
18090	4.77562372049334																4.935756624885	0.11791802908382572	4.5			5.0			5.0	12.882534357101479	0.11100980862079098	5.0	0.23370565805324534	0.12431214813592537	5.0
18846	6.335054																		5.0	0.8850737317972378	0.10500335473317907	5.0	1.9043664271047969	0.10089419975260137	5.0	5.836707059577878	0.09896901179039196	5.0			5.0
18970	3.72458828704365	5.021445905820577	0.09040121379077926	4.5			5.0			5.0			5.0	0.7751134903792122	0.08984358556774823	5.0	10.586024161790101	0.2835541883673054	4.5			5.0			5.0			5.0	0.9908118801689089	0.28183385750702467	5.0
18976	6.327052			5.0	0.5902508296717742	0.08121906750616555	5.0	0.3501740350868639	0.0906963299752481	6.5	1.6956637886323565	0.07977754247625769	5.0			5.0			5.0	0.6089927520268081	0.11423865433434832	5.0	0.295589699531245	0.10976808921170807	5.0	1.6416280402733292	0.10767357630111182	5.0			5.0
19342	5.974287																		5.0	0.1397057331144277	0.1350172526970878	5.0	0.169244025984549	0.13606569207040414	5.0	1.8705190144532167	0.12725806816398275	5.0			5.0
19519	3.60450973158305	3.415000154293311	0.07712063980128286	12.5			5.0			5.0			5.0	0.18347806264320055	0.059910967547779755	8.0	3.65348255925083	0.08267106171085194	5.0			5.0			5.0			5.0	0.29128269970529913	0.08875319749915501	5.0
19606	5.88913558713673			5.0	0.4677565908296389	0.06321121119441782	5.0	0.673749484323619	0.0606533471222559	5.0	2.0016556876251226	0.0594595420204654	5.0			5.0			5.0	0.4493610328209023	0.10647126002728576	5.0	0.8142600005613863	0.09754366667174995	5.0	2.7884527275514976	0.09568241108591397	5.0			5.0
20961	7.04457065169479			5.0	0.14481611705659136	0.09428292277533316	5.0	0.17551864378123355	0.0904227717642914	5.0	0.6808235125727051	0.0886104120802912	5.0			5.0			5.0	0.5798427291098441	0.20153641084123305	5.0	0.28608289402922954	0.19364957381132525	5.0	1.2426034815023503	0.18995449689602234	5.0			5.0
