ID	redshift	Flux (Ha 6563) MAST G395M	F_err(Ha 6563) MAST G395M	Optimal dline (Ha 6563) MAST G395M	Flux (Hb 4861) MAST G395M	F_err(Hb 4861) MAST G395M	Optimal dline (Hb 4861) MAST G395M	Flux ([OIII]4959) MAST G395M	F_err([OIII]4959) MAST G395M	Optimal dline ([OIII]4959) MAST G395M	Flux ([OIII]5007) MAST G395M	F_err([OIII]5007) MAST G395M	Optimal dline ([OIII]5007) MAST G395M	Flux ([NII]6583) MAST G395M	F_err([NII]6583) MAST G395M	Optimal dline ([NII]6583) MAST G395M	Flux (Ha 6563) JADES G395M	F_err(Ha 6563) JADES G395M	Optimal dline (Ha 6563) JADES G395M	Flux (Hb 4861) JADES G395M	F_err(Hb 4861) JADES G395M	Optimal dline (Hb 4861) JADES G395M	Flux ([OIII]4959) JADES G395M	F_err([OIII]4959) JADES G395M	Optimal dline ([OIII]4959) JADES G395M	Flux ([OIII]5007) JADES G395M	F_err([OIII]5007) JADES G395M	Optimal dline ([OIII]5007) JADES G395M	Flux ([NII]6583) JADES G395M	F_err([NII]6583) JADES G395M	Optimal dline ([NII]6583) JADES G395M
18970	3.72458828704365	5.56014944935518	0.059967952262612007	6.0			5.0			5.0			5.0	0.47831728984623445	0.051618686497468674	5.0	10.747289361636549	0.18141994191391703	6.0			5.0			5.0			5.0	1.4289631329752628	0.15616106191239976	5.0
18976	6.327052	1.130355076076166	0.12000652881927884	13.5	0.5859455796992891	0.0577760370027254	5.0	0.5020284650147351	0.049641904758688266	4.5	1.80297821419798	0.05443539154504008	5.5	0.004425881253276771	0.06885542964854295	5.0	1.060032525613564	0.10124801115028753	5.5	0.36560232699775636	0.061972589236089504	4.5	0.534092787455279	0.0595473812571238	4.5	1.4304356401575238	0.06530564262064271	5.5	0.06560898096584175	0.1006337367531248	5.0
19342	5.974287	1.7851975430455964	0.07472688151246434	5.5	1.0219652184098755	0.08638857003110241	4.5	0.9951586778949008	0.10115031049937731	6.5	3.045038347315436	0.08139818303949127	4.5	0.0071867148835038	0.06642779824580967	5.0	1.2887135432657832	0.059144426759569324	5.0	0.5447229733314102	0.06280749937348881	5.0	0.6650375742259873	0.07983504098797627	8.5	1.94372158480123	0.05919807192651296	4.5	0.04523494891940115	0.05878559593730559	5.0
19519	3.60450973158305	3.6314833110715194	0.053430234175845644	6.0			5.0			5.0			5.0	0.5364700998750704	0.07509831776973931	14.5	3.6254144688901664	0.062290920257498376	5.5			5.0			5.0			5.0	0.1585731344283047	0.0619129995748441	5.0
19606	5.88913558713673	1.3369900973295668	0.05957646645451254	5.5	0.48994632752184425	0.07154171682108186	4.5	0.6231744642436821	0.06836145676321105	4.5	1.96164543325836	0.07535715869617929	5.5	0.03473389579249384	0.052958181726047104	5.0	1.8957910443872372	0.16341972836202925	6.0	0.5880048191378463	0.10129654521767795	5.0	0.9050266469582134	0.0973324508861073	4.5	2.808730882583219	0.10674454726249419	6.0	0.09291783137893218	0.1452802491915881	5.0
20961	7.04457065169479			5.0	0.12689033599248034	0.0751630359038089	5.0	0.24079706590438352	0.06457827394428435	5.0	0.6066511263474281	0.07081901293994584	5.0			5.0			5.0	0.5099552211214218	0.12768531396357718	8.0	0.4721390706334484	0.08675389379433733	5.0	0.9990796308294891	0.09514303844225802	5.0			5.0
22251	5.79838391626917	3.9961938312804994	0.07286560463604883	5.0	1.533265726273562	0.07720485055049084	5.5	3.2342250769904117	0.06633519078713043	4.5	9.452353789572465	0.06506400637336149	4.5	0.4368733010864771	0.1254272261748414	14.5	3.3010392298995477	0.06369745063800956	4.5	1.1107840765262038	0.05757315528058828	5.0	2.3724346017492097	0.05532011281001349	5.0	6.648846868435063	0.05426453562607179	4.5	0.3615073853777815	0.10498941024342238	14.0
10000626	4.46468607001795	0.48971489162249926	0.022930826923854997	7.0			5.0			5.0			5.0	0.06074387745878816	0.020385655970422138	6.5	0.6588472034092361	0.04448142360840351	7.0			5.0			5.0			5.0	0.1117183388324345	0.039544015713398814	6.5
10001587	3.43070237834676	0.24738069080635922	0.04081457798342056	6.0			5.0			5.0			5.0	0.08153813059945447	0.06624170176053548	14.5	0.24058321191031345	0.06329830652663954	5.0			5.0			5.0			5.0	0.0720265058334486	0.06291427400451054	5.0
10001892	4.770522	0.1736033183356396	0.03224352173071672	7.5			5.0			5.0	0.12717029611965727	0.022464930692729285	6.5	0.019478383370083594	0.024822544540597628	5.0	0.20921789107192043	0.028113979299847897	5.0			5.0			5.0	0.10994444992648461	0.043596025854149435	9.0	0.0462016662623199	0.027943411033952807	5.0
10005113	5.820838			5.0	0.15659437321955483	0.033315998904942426	4.5	0.3020327243216247	0.03578575443015918	6.0	0.9192363307471927	0.035101515572119414	5.5			5.0			5.0	0.15914407243308049	0.048281782593599123	5.0	0.38793003237328294	0.04639234460451753	4.5	1.3284234729097246	0.050878507385463484	6.5			5.0
10005217	4.8883230178694	2.6788992028323584	0.03195417560137708	5.5			5.0	0.942784318087068	0.043712739552500615	4.5	3.101676694830419	0.0495103426417854	5.0	0.08596318997246795	0.044735601314226665	12.0	3.4910272192429597	0.042077431311058365	6.5			5.0	1.3071151617331949	0.08960939968658986	7.0	4.1050996931596435	0.07861973853882633	5.0	0.29428670173735194	0.059145446657156195	14.0
10005447	6.62257640301802	0.23021391906614425	0.0826665927057722	5.0	0.002039262806763886	0.050148463354317906	5.0	0.07481499073636554	0.04817502778722896	5.0	0.2776750566042389	0.051758279378974904	6.0	0.07770373620199893	0.09185714772500368	5.0	0.25278966386637464	0.16377183500811687	5.0	0.08689784879114765	0.08966917177984224	5.5	0.14357487989039142	0.07706393438842996	5.0	0.5103739761991914	0.07559345779840981	4.5	0.03535796970768937	0.16277822689596733	5.0
10009506	3.59928686455817	4.424856658000526	0.036516644101020686	4.5			5.0			5.0			5.0	0.1037369536516731	0.03629509664258692	4.5	5.451180560085199	0.05685090294947139	5.5			5.0			5.0			5.0	0.23510024248757844	0.05650598699763539	5.0
10009693	6.28599376348805	0.40204974792275483	0.09732939744679689	5.0	0.15917343144537124	0.07790209399206507	5.5	0.11640405163713687	0.0885609636234271	7.5	0.6002212144605099	0.0804193758983442	6.5	0.12817736537513008	0.09673889738397136	5.0	0.7773699948258374	0.22382367782780024	10.5	0.0690842784124594	0.09286822459666637	5.0	0.04291614476172262	0.0892339604476214	5.0	0.5007676091036933	0.08753126448594184	4.5	0.35240394213816845	0.18164251083821484	7.5
10009848	4.37	0.008646000809085187	0.05066807880015611	4.5			5.0			5.0			5.0	0.011926681608721686	0.05035395810834638	5.0	0.10296632714992891	0.07208460525382789	5.0			5.0			5.0			5.0	0.16608360729981525	0.07164726602182697	5.0
10013545	4.03498294164463	2.6146272694193446	0.05303277443722823	5.5			5.0			5.0			5.0	0.17184767700575734	0.06455898058205563	10.5	4.907578328468384	0.0874157445930473	7.5			5.0			5.0			5.0	0.2868099165659856	0.10990229229038152	13.0
10013609	6.928894	0.15097172005099752	0.028920446867082523	7.5	0.6921196981313569	0.07182054307644295	6.0	0.9224413411304061	0.06298109986750546	5.0	2.9305224482274546	0.05525160334653597	4.5			5.0	2.1572490882355426	0.13513771134849192	5.0	0.6252227802850677	0.09956597693854675	4.5	1.3201149816170317	0.1171708591776038	6.0	3.590190793621995	0.1049209043429283	5.5	0.15020117757428958	0.1201375169122426	5.0
10013618	5.94372301071691	0.6852239273613967	0.03367701482681202	4.5	0.2831778626723501	0.02537047241140141	5.0	0.5057713000556602	0.024371149530525726	5.0	1.2012219724683737	0.023903731582750644	4.5	0.25654872991302496	0.05786785338646439	14.5	0.7469173609928017	0.04599052629685936	4.5	0.3488804014663647	0.03893514820060074	6.5	0.587013337916177	0.03346184253493032	4.5	1.4077737726137716	0.036697619339104474	5.5	0.17484059677210356	0.060470631243862004	9.0
10013620	5.91753186734937	1.078396122588457	0.03696290551565666	5.0	0.34178609125575155	0.046305149116390804	4.5	0.7852897867371995	0.0444827010889757	5.0	1.8753216325639561	0.04877770622347053	6.0	0.2627451594935965	0.04859857815212696	8.5	1.351993947224611	0.09861518552037504	5.0	0.5099019754431072	0.07297201811769898	4.5	0.9151320658536646	0.07011636333931268	5.0	2.2768264070227264	0.06877845512468563	4.5	0.4275395015057813	0.15497830216088568	13.0
10013704	5.919825	2.581660502128212	0.06492061687414248	4.5	0.9238708926842827	0.0441849528147672	7.0	1.4035465659663091	0.03466409045770693	5.0	4.297813184880078	0.034003218984018084	4.5	0.4047733146538018	0.06452674175163053	4.5	3.2538637754102124	0.10824434563544937	5.5	0.966382171971862	0.06720584330273285	5.5	1.797719907799847	0.06457583946684957	6.0	4.8335604552621865	0.056656284190773294	5.0	0.5871485464614816	0.09622929657956562	4.5
10013905	7.197212			5.0	0.4825443900293407	0.03858912360302659	5.0	0.6176474355325207	0.04539997063408812	6.0	1.8442135135448205	0.03635877630779274	5.0			5.0			5.0	0.7577364538160732	0.07746273539609115	5.0	0.6101304468276365	0.06657341692381218	5.0	2.208249908913903	0.09235254746664803	8.0			5.0
10015338	5.07627227996806	2.4493381112324064	0.06607870772374337	5.0	0.7052036740913069	0.07291919641183614	7.0			5.0			5.0	0.316455894995859	0.09851325260013165	13.0	2.940286364940463	0.12648181022565622	5.0	0.856500688364027	0.06985277809083122	5.0	0.7765098704947374	0.058126923860606756	14.5			5.0	0.44500253056714445	0.12571444169322132	5.0
10016186	3.92792643507394	2.5156039655441216	0.045688537951377416	4.5			5.0			5.0			5.0	0.2005811637447494	0.04541134436712898	5.5	3.152872184799863	0.07206626417317054	4.5			5.0			5.0			5.0	0.2434469915128529	0.07162903621700352	5.0
10016374	5.50325569707072	1.483721785317011	0.047072361835624875	6.0			5.0			5.0			5.0	0.3165551539924817	0.069390123434858	14.5	1.8271155427671268	0.062484245880283416	6.5			5.0			5.0			5.0	0.02641999484263803	0.04810644410340955	5.0
10035295	3.58892350772953	4.942687134365403	0.05148545243640087	6.5			5.0			5.0			5.0	0.2754701411971983	0.051175628248957786	6.5	5.54810563966619	0.056299979621241544	4.5			5.0			5.0			5.0	0.31965743505199906	0.055958406135998666	4.5
10056849	5.8142066790736	1.165407515131083	0.05052554114185816	4.5	0.4457531983284993	0.056647258636702266	5.0	0.3701013651957987	0.06084398841268455	5.5	1.418384273887018	0.05337679177554658	5.0	0.32801548207211867	0.07101448258875392	10.5	1.4685701077459896	0.07933509333943428	4.5	0.5181690260168298	0.11567014094696695	5.0	0.4359038656089926	0.11114355665849465	5.0	1.736055265469509	0.12189119382740629	6.0	0.33855566970528483	0.08816118963661011	5.5
