ID	redshift	LF(Ha) MAST	LF err(Ha) MAST	LF(Ha) JADES	LF err(Ha) JADES	LF(Hb) MAST	LF err(Hb) MAST	LF(Hb) JADES	LF err(Hb) JADES	LF([OIII]4959) MAST	LF err([OIII]4959) MAST	LF([OIII]4959) JADES	LF err([OIII]4959) JADES	LF([OIII]5007) MAST	LF err([OIII]5007) MAST	LF([OIII]5007) JADES	LF err([OIII]5007) JADES
3184	3.46762	1.6340809045750817e-18	2.956401491117888e-20	1.1499199065426727e-18	3.220007960659583e-20	7.560468984581279e-19	3.424904503609521e-20	4.489596261229292e-19	2.5336681095876327e-20	1.4768366912653167e-18	5.225361462713589e-19	8.627717315082317e-19	3.403027762921363e-19	3.730398950733849e-18	2.7169443002519056e-19	2.3100487557651493e-18	1.7302154765094547e-19
3334	6.70593																
3968	5.76847043540196																
4197	3.748809	8.076506259286084e-20	9.2889171224483e-20	7.996627043845996e-20	1.2460652612042186e-19												
4270	4.02261238702772					8.545588535194059e-19	2.6334284272712016e-20	5.899291203235849e-19	1.864486003863604e-20	1.4873995689247226e-18	6.825998444845399e-19	1.3597162335805166e-18	6.336756431071384e-19	4.483971883512154e-18	2.249845138962631e-19	3.833422066508074e-18	2.188282344462013e-19
4282	3.599695	8.469767785408716e-20	2.1709458863705624e-20	6.00448901133794e-20	5.334796197971882e-20	-4.762604667137464e-21	2.365591657966727e-20	3.50317677232573e-20	4.0957205400470326e-20	4.176089284934165e-20	2.922366393569868e-20	1.4326141816939913e-19	7.197083654884647e-20	9.460972586472745e-20	2.0858444250645717e-20	1.4343685769660052e-19	5.807130346176717e-20
4297	6.712776																
4404	5.763688																
5329	3.5873007444784	2.4866560515384832e-19	2.1051293887914545e-20	2.252297691062849e-19	2.7224400658017233e-20	3.2074733614192705e-20	1.3173183255233478e-20	3.041215444116584e-20	1.507887149008628e-20	1.217965897050971e-19	3.941662265712454e-20	1.0810265267981332e-19	4.9064796428330523e-20	3.20435610600702e-19	2.1771479926526735e-20	2.8717466027288184e-19	3.6572038552158043e-20
5457	4.8631511339788																
5759	5.05189382127941					1.3203005802739614e-19	5.513364886770982e-20	8.352553157482292e-20	2.847509121535765e-20								
6002	5.93685818347379																
6246	5.56159788939357																
6384	5.61541238216689																
