ID	redshift	Flux (Ha 6563) MAST	F_err(Ha 6563) MAST	Flux (Ha 6563) JADES	F_err(Ha 6563) JADES	Flux (Hb 4861) MAST	F_err(Hb 4861) MAST	Flux (Hb 4861) JADES	F_err(Hb 4861) JADES	Flux ([OIII]4959) MAST	F_err([OIII]4959) MAST	Flux ([OIII]4959) JADES	F_err([OIII]4959) JADES	Flux ([OIII]5007) MAST	F_err([OIII]5007) MAST	Flux ([OIII]5007) JADES	F_err([OIII]5007) JADES	Flux ([NII]6583) MAST	F_err([NII]6583) MAST	Flux ([NII]6583) JADES	F_err([NII]6583) JADES
3184	3.46762	6.70070737675228	0.1071776531737628	4.75545803818744	0.1159885024505474	3.0318845949266198	0.1211941769504463	1.6430173511947184	0.0823927894088147	6.45397929004304	0.1409297397573232	3.839030186721201	0.0856646022160347	15.795758479645064	0.1382406234437399	9.822032237208134	0.0751587294615423	0.2501073983264673	0.8051303542704402	0.1074008624941794	0.5995778972444219
3334	6.70593	0.3397157973645652	0.0889237268223994	0.3844003749445763	0.0891157202607638	0.0143403926234935	0.0533477118049721	0.2600682546494495	0.0602926486059984	0.1488113126678747	0.0482985415299689	0.4072787112814163	0.0576894820431424	0.5248859975472312	0.0473769447387298	1.2784911838613635	0.0506144669034063	0.0375124046197951	0.09945549410897	0.0465103410256365	0.1209709005678316
3968	5.76847043540196	0.2422829972912097	0.042332600926741	0.2163691034101172	0.0611762886111381	0.1419235784733021	0.0675125035963973	0.0217524761093689	0.0630681505198902	0.2103822692350781	0.0613895287011499	0.2858266550512455	0.0626190552392048	0.6976414372828157	0.0768832194746448	0.811540772630919	0.0792983077671566	0.055255787334401	0.0716397674172201	0.0392391763899453	0.080660097395914
4197	3.748809	0.3775533676676835	0.5090252518411814	0.3604846613544343	0.6818749268425919	0.211412231182762	0.0804559569329648	0.2391939862672622	0.183094578585538	0.1717034260872905	0.0749357279170955	0.2152587725032672	0.1451308907965254	0.0287721811653421	0.0821788391375436	0.0637810357756144	0.1591651200688058	0.069541165235472	0.4986997170941095	0.0997962058013324	0.6678819010780419
4270	4.02261238702772	11.897098238939511	0.2687490628408152	11.7544776647451	0.2585390786599335	3.408560266738514	0.2186094519194301	2.8709171194029324	0.0760984853216334	7.02393155489462	0.1512653712863734	6.461835660057787	0.0715271291600266	19.832036680281423	0.1354418101256531	17.832987395760483	0.0701623017629253	4.584203669872212	1.9704750620836444	0.379613992316377	1.31131067920839
4282	3.599695	0.3976134304356485	0.0993088954130105	0.2314473089167092	0.2458704830620543	0.000435814553922	0.1072219229124679	0.4492417671619902	0.2045741389075935	0.3045979091255489	0.0887106539607577	0.7572667145587406	0.1888257059020857	0.435436662560869	0.0870155219748076	0.674223280730542	0.2070852455120196	0.134606797470057	0.1069555252164363	0.2394345237810023	0.1963601306934543
4297	6.712776	1.2570734992697308	0.097373689485768	1.6256195347689062	0.127117100000934	0.4024890872035437	0.0652257789542885	0.5119405335263134	2.213152272496921	0.6537767874933159	0.0565771457348715	0.9179949092093196	0.2011846484537071	2.2590801683084223	0.0554961077760273	2.828103027002481	0.1973457928570746	0.0595325102603614	0.1831233313097522	0.089130103081813	0.2396080161348314
4404	5.763688	2.265148697274586	0.0414833429191365	3.013509927501552	0.0793228158383365	0.8372153057713538	0.0452713211959699	0.906443752312814	0.1136634059897072	1.6054624955203376	0.0578240232276804	1.8140343015643092	0.0971775526154695	4.497814381756294	0.0567169163030232	5.0726813936248245	0.0953232829453403	0.1068222663135911	0.2869429339107627	0.0662882303851305	0.3771046604653091
5329	3.5873007444784	0.9147991671121832	0.0649021423854361	0.8699578970398166	0.0876463707325077	0.7340463795929072	0.0890013557846612	0.4440355759047866	0.0936080231444475	0.543356176641956	0.0734453633900533	0.4332096941590151	0.1148958759619974	1.3787082018957026	0.0805448762388642	1.5286141761205687	0.1490927408428969	0.0373151854939439	0.1046645422107367	0.1565038872104177	0.1520960461159972
5457	4.8631511339788			0.9020243639625376	0.0574995922835719			0.087627709002499	0.1016341431155213			0.3472380271454811	0.1103848129799719			1.4307607761021204	0.1082785322058257			0.1173449162581296	0.1183842493434114
