ID	redshift	LF(Ha) MAST	LF err(Ha) MAST	LF(Ha) JADES	LF err(Ha) JADES	LF(Hb) MAST	LF err(Hb) MAST	LF(Hb) JADES	LF err(Hb) JADES	LF([OIII]4959) MAST	LF err([OIII]4959) MAST	LF([OIII]4959) JADES	LF err([OIII]4959) JADES	LF([OIII]5007) MAST	LF err([OIII]5007) MAST	LF([OIII]5007) JADES	LF err([OIII]5007) JADES
5759	5.05189382127941	2.128430225880985e-19	1.3137915175901138e-20	2.2447523061106413e-19	1.7654811781498016e-20	9.486304153893127e-20	2.1923213788648763e-20	9.127347456697852e-20	3.0250782174026463e-20	1.527830707323438e-19	7.804349635269773e-20	1.5703696113779189e-19	6.929592463924126e-20	4.595461473216028e-19	5.491828911761211e-20	3.1479741616791417e-19	5.694891740734215e-20
6002	5.93685818347379	1.251900374111372e-19	5.6265693965934974e-21	1.4271913325619832e-19	6.93343497654353e-21	3.861315047857005e-20	4.393380006745869e-21	4.662106379507014e-20	5.9357191910106895e-21	6.79308037773321e-20	2.4449501277812812e-20	9.263964511568559e-20	3.4176925416675556e-20	2.1061961953859475e-19	1.310892859980356e-20	2.3901970689034127e-19	1.433180688322995e-20
6246	5.56159788939357	8.911976382781375e-20	8.001501618911994e-21	1.1027456358856047e-19	5.8066941684776686e-21	6.222000703822599e-20	1.0359759989894293e-20	5.481963702389097e-20	5.317024009257954e-21	6.698810085297675e-20	2.812800179810352e-20	5.684060582889508e-20	3.202957738700772e-20	1.6635029966971175e-19	1.4487321658468985e-20	1.8010690558082063e-19	1.3130634390048058e-20
6384	5.61541238216689	1.4582353800566314e-20	9.07388073430637e-21	8.354835595913542e-20	1.7755971304449495e-20	5.15403646543648e-20	9.737742749053337e-21	1.3648955932034671e-19	2.3826035482972613e-20	3.051519665565357e-20	1.4001005843053846e-20	1.0400106232101988e-19	3.0728681829354744e-20	7.113002580131263e-20	9.372844255244022e-21	1.3059225301562468e-19	1.9766749926052802e-20
7507	4.04428024657048	4.192753263846279e-19	1.2350112964556721e-20	4.506706400227603e-19	1.9982734181089707e-20												
7624	4854.0																
7762	4.14863310108243	6.670693680287328e-19	6.078936778957373e-21	7.455598340622926e-19	8.034225783452566e-21												
7809	3.57819206358422	7.74573130528161e-19	3.493010342645507e-20	8.280613078361254e-19	2.3640937132137092e-20												
7892	4.22872754610498	4.804581998828899e-19	5.857710214476766e-21	5.680725653090187e-19	9.038893491094452e-21												
7938	4.80631123887867	4.361361848854184e-19	8.928553509344334e-21	5.582220017793868e-19	1.1404660611243955e-20									1.083376133074833e-18	5.586157531130618e-20	1.2908885845087774e-18	6.769670192385324e-20
8013	8.47315					2.740619556649e-20	5.146480352597997e-21	2.0384689337200267e-20	1.0728989662513349e-20	2.1843744930553767e-20	1.0684059464371575e-20	4.497303937592663e-20	2.2628541324588947e-20	8.891861087870709e-20	7.703703950228966e-21	1.4554053062856283e-19	1.9021831255182626e-20
8079	7.258982					-4.766526214089462e-21	2.878264235631449e-21	-8.297521294849879e-21	4.438620829585364e-21	1.483717648809058e-21	5.6761598133920826e-21	1.1272754353265635e-20	8.441087401229977e-21	1.0314292667230646e-20	4.8675016277957294e-21	2.5482214240738893e-21	6.761652550370833e-21
8083	4.6487198664651	1.4238338336138508e-18	2.777989975965714e-20	1.7311664769330834e-18	3.381532868076413e-20												
8113	4.90277103561231	2.541607570678364e-19	8.380918733274812e-21	3.024519836411761e-19	1.0238108620120821e-20					2.050155705703753e-19	1.1285907165868392e-19	2.1447706569345921e-19	1.2351860726910589e-19	6.584423224781022e-19	4.0874640743656523e-20	6.347985104662445e-19	3.398291504111326e-20
9422	5.935895					2.3942449909585084e-19	6.6225193353433626e-21	2.2610938028113544e-19	1.6691089885937814e-20	4.389651040119236e-19	1.7368902555003074e-19	5.629277523432827e-19	2.1541522335880047e-19	1.3020147268932659e-18	6.991339742841369e-20	1.6251706162642862e-18	8.991206328202133e-20
9452	5.12243857379367	2.2743292336047027e-19	1.3980963680600732e-20	2.6412438348616685e-19	3.329749702248896e-20	1.7595402629021174e-19	2.7236915196440997e-20	-1.114137405854317e-19	9.792352501038417e-20	2.3016401417381998e-19	8.835066403938997e-20	5.099337654573406e-20	1.25689130187542e-19	6.821303657369131e-19	2.983372360704486e-20	5.96801175576057e-19	7.019597787956444e-20
9743	5.44012039584156	2.4692649010127752e-19	1.6085273171525842e-20	3.8174353889212655e-19	3.382845449759625e-20	6.65945917930402e-20	1.3549502091447223e-20	8.258742308802991e-20	2.8101016560381627e-20	9.20687954928619e-20	4.001646268272435e-20	1.290583948959187e-19	5.91911271803584e-20	2.44381421672252e-19	2.3637052707213966e-20	3.5801615288814176e-19	5.753598895078652e-20
16625	6.630648	1.2933439029425846e-19	8.959642922439949e-21	2.1403149301040622e-19	1.0459207209880878e-20	4.6390377749489033e-20	4.8497270054585995e-21	9.640821097147847e-20	9.439411047226078e-21	5.334724106258664e-20	2.2157189253847073e-20	7.902347545185425e-20	3.5701620456222756e-20	2.205839751260239e-19	1.358238083717965e-20	2.9706921195082163e-19	1.8202757154674542e-20
16745	5.56655234405774	3.0954436190875354e-19	1.0126770381849647e-20	3.303341435697181e-19	8.426587208936327e-21	7.893750456455434e-20	1.3431945223653534e-20	6.128792775688531e-20	1.530837241763074e-20								
17072	4.70200977971638	8.227784965310148e-20	7.123375919048372e-21	8.71574297879256e-20	8.503874457813147e-21												
17260	4.88512714601353	6.112598899193764e-20	7.363963985174903e-21	7.388395878169583e-20	9.13394731511462e-21					8.385379350496498e-21	1.0044998208722672e-20	4.560841190002732e-23	9.289000358751868e-21	4.5095963074646256e-20	8.732773087060549e-21	5.820231195639551e-20	1.049058574471865e-20
