ID	redshift	Flux (Ha 6563) MAST G235M	F_err(Ha 6563) MAST G235M	Optimal dline (Ha 6563) MAST G235M	Flux (Hb 4861) MAST G235M	F_err(Hb 4861) MAST G235M	Optimal dline (Hb 4861) MAST G235M	Flux ([OIII]4959) MAST G235M	F_err([OIII]4959) MAST G235M	Optimal dline ([OIII]4959) MAST G235M	Flux ([OIII]5007) MAST G235M	F_err([OIII]5007) MAST G235M	Optimal dline ([OIII]5007) MAST G235M	Flux ([NII]6583) MAST G235M	F_err([NII]6583) MAST G235M	Optimal dline ([NII]6583) MAST G235M	Flux (Ha 6563) JADES G235M	F_err(Ha 6563) JADES G235M	Optimal dline (Ha 6563) JADES G235M	Flux (Hb 4861) JADES G235M	F_err(Hb 4861) JADES G235M	Optimal dline (Hb 4861) JADES G235M	Flux ([OIII]4959) JADES G235M	F_err([OIII]4959) JADES G235M	Optimal dline ([OIII]4959) JADES G235M	Flux ([OIII]5007) JADES G235M	F_err([OIII]5007) JADES G235M	Optimal dline ([OIII]5007) JADES G235M	Flux ([NII]6583) JADES G235M	F_err([NII]6583) JADES G235M	Optimal dline ([NII]6583) JADES G235M
3184	3.46762	6.70070737675228	0.10903605673204164	4.5	3.0318845949266193	0.16456005585717984	6.5	6.45397929004304	0.1443406801536495	6.0	15.965034989054265	0.1551059884288836	6.5	0.2501073983264673	0.10836847507263989	5.0	4.75545803818744	0.12014683592646526	5.5	1.6430173511947184	0.0919643648325323	5.0	3.8390301867212013	0.08836547193290105	5.0	9.918833966472278	0.08667934782212375	5.5	0.10740086249417943	0.1068106185093693	5.0
3334	6.70593			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0
3968	5.76847043540196			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0
4197	3.748809	0.37755336766768355	0.5175082311350768	5.0	0.21141223118276206	0.08834996145323884	5.0	0.17170342608729053	0.07592296865182428	5.0	0.16255890688794664	0.1289908075949558	13.5	0.06954116523547206	0.5143684948270356	5.0	0.36048466135443435	0.6667834645802179	5.0	0.23919398626726224	0.17027771487650764	5.0	0.2152587725032672	0.14634093732093742	5.0	0.06378103577561448	0.16049217869353988	5.0	0.09979620580133243	0.6627380714304056	5.0
4270	4.02261238702772			5.0	3.408560266738514	0.09215985434015407	4.5	6.005274139723894	0.08807811013223531	5.0	19.832036680281426	0.08639166461085804	4.5			5.0			5.0	2.8709171194029324	0.07065915343864786	5.5	6.461835660057787	0.06789400928672033	5.0	17.832987395760483	0.06659850637668108	5.0			5.0
4282	3.599695	0.4546670419497139	0.1391184039521298	12.0	0.00043581455392206265	0.09294546143946568	5.0	0.16985567228127127	0.10937567081827329	6.5	0.43543666256086905	0.08759674970745832	4.5	0.26366974935870036	0.10211859454874798	6.0	0.23144730891670928	0.2627686298153711	5.0	0.4492417671619902	0.2214582650387462	5.0	0.7572667145587406	0.19032678531502908	5.0	0.674223280730542	0.20873148005025363	5.0	0.23943452378100233	0.23360148986877943	5.0
4297	6.712776			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0
4404	5.763688			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0
5329	3.5873007444784	0.9147991671121833	0.06987742434377926	4.5	0.7340463795929072	0.09725059319906924	6.5	0.543356176641956	0.076295969533249	5.0	1.3787082018957026	0.08367103299555527	5.0	0.03731518549394391	0.06945347613751385	5.0	0.8699578970398166	0.10770323963233304	5.0	0.5789786117285972	0.1383733522463671	6.0	0.6178130012747236	0.13295831049839493	6.5	1.1816276108709072	0.10648854476255472	4.5	0.1565038872104177	0.11968531622034441	5.0
5457	4.8631511339788																		5.0	0.087627709002499	0.12016568649547418	5.0	0.3472380271454811	0.11546317550991836	5.0	1.5745910065032314	0.12407010628241684	5.5			5.0
