ID	redshift	Flux (Ha 6563) MAST	F_err(Ha 6563) MAST	Flux (Ha 6563) JADES	F_err(Ha 6563) JADES	Flux (Hb 4861) MAST	F_err(Hb 4861) MAST	Flux (Hb 4861) JADES	F_err(Hb 4861) JADES	Flux ([OIII]4959) MAST	F_err([OIII]4959) MAST	Flux ([OIII]4959) JADES	F_err([OIII]4959) JADES	Flux ([OIII]5007) MAST	F_err([OIII]5007) MAST	Flux ([OIII]5007) JADES	F_err([OIII]5007) JADES	Flux ([NII]6583) MAST	F_err([NII]6583) MAST
3184	3.46762	1.6340809045750817	0.0295640149111788	1.1499199065426726	0.0322000796065958	0.7458369030663159	0.032202817761857	0.4488672713530788	0.0253314691275494	1.5266858700564994	0.0400824838689282	0.9184900041765884	0.0257253580860327	3.644652997180222	0.0391387837969966	2.2850717543391585	0.0252344859662016	0.1243863661921276	0.2705578074706156
3334	6.70593	0.0356088993589713	0.0158490397668575	0.0524309662431743	0.0159229577812821	0.0041050988076734	0.0092445966963232	0.0293493810599446	0.0095826313383119	0.0209139819163838	0.0094014276404959	0.0563024213085757	0.0100440261021238	0.0746266131758529	0.0092219005225589	0.1684283789826243	0.0092889067960776	0.0272356254094058	0.017992089797288
3968	5.76847043540196	0.0414296887752229	0.0084235133710786	0.0220165179049598	0.0123399233774234	0.0306129763010627	0.0159876200445122	0.0178962139885163	0.0134079674458476	0.0429914524152102	0.0137457142222578	0.051582622169173	0.0141320240330528	0.1020716265260799	0.0134404589438622	0.1198962720235159	0.0138623672775889	0.0116182367181264	0.0152466388036857
4197	3.748809	0.0905004357753302	0.1514152358145845	0.0690753288145627	0.2114339055096829	0.0427457097174236	0.0225669814842725	0.0688859996834678	0.0520350683771375	0.0554723239894613	0.0236696287392587	0.0385000501290915	0.0458423019739872	0.0006046079249209	0.0232168306512964	0.0356245511584617	0.0449675733162672	0.0422293249551278	0.1604689605097979
4270	4.02261238702772	2.3687072228920245	0.0535078246402078	2.548134037626813	0.0210385841210828	0.8515010900712912	0.0277608863817814	0.5959104829225066	0.020851452163223	1.455770936512151	0.0368854837734662	1.3420160563386097	0.0201398452321343	4.430567304168322	0.0361794116117408	3.794517257358361	0.0187417619490174	0.3177285172504896	0.3640520577666972
4282	3.599695	0.0695583173900477	0.0288537056311706	0.0370505834158991	0.0686998443086498	0.0102275727452273	0.033015643238884	0.0899437079920647	0.0597961304080755	0.0396599786993928	0.0273787013397674	0.1739513416160859	0.0580559959326468	0.1446015848218636	0.0283781752835529	0.1927254931064835	0.060402703149084	0.0894313855509384	0.0311557190555372
4297	6.712776	0.1735081135866515	0.0160026778205646	0.2269674085950715	0.0219375195919647	0.0424425717611589	0.0110635296754029	0.0763555217222028	0.4056117247217636	0.0813344086603489	0.0098418664871956	0.1438617736222205	0.0391268944774968	0.2970585176739976	0.0091016265533192	0.3746405301851961	0.0361852978403331	0.0234016698403419	0.0335769747525055
4404	5.763688	0.3522253964148716	0.0093162141757219	0.4552999089241559	0.0136152199766616	0.1413496978794619	0.0103007544466327	0.1418934940382213	0.0249357318973414	0.2373427040690942	0.0121184635633591	0.298047992503891	0.0203187688236078	0.6951681346206983	0.0118596745389599	0.811304034857535	0.0199310612126443	0.027838948483555	0.0561265187947223
5329	3.5873007444784	0.2618221137650152	0.0224430690411839	0.2252640885255496	0.0274510304180634	0.1807897936571333	0.0219807028904945	0.1514351505244645	0.0330939362890119	0.1353409072370322	0.0226417546168433	0.1200709599024115	0.035421114746355	0.3460778635295428	0.0235557284802657	0.3245939656945276	0.0368528873695619	0.0471502275703937	0.033927245334371
5457	4.8631511339788			0.1550658515987533	0.0119966925543711			0.0236656698383664	0.0265728194054219			0.0682568091703196	0.0279247682453982			0.2618209635936358	0.0273919286192752		
5759	5.05189382127941	0.2392543916699639	0.0121340847200657	0.2371525444584494	0.0224939083497738	0.0526143697137532	0.0622650591772298	0.0509917932249359	0.0340300614540093	0.1841673569270557	0.0282457458477746	0.1547367656739626	0.0225656924582082	0.4313817176998187	0.0277075698277309	0.3141754223207463	0.0221351107242078	0.0255601814271088	0.0500207854280759
6002	5.93685818347379	0.1356765953674698	0.0066415341477993	0.1535943645505858	0.0099911836517243	0.0488718004219588	0.0053845095077909	0.0618087724843345	0.0073800688565767	0.0771961196640399	0.0054190656323413	0.0911178027709234	0.0077108973934845	0.2142775765917801	0.005315575175418	0.2420570377064766	0.0070752531673219	0.0121890124171464	0.0248496206801219
6246	5.56159788939357	0.1107431289653977	0.0107164934279478	0.1137159680620967	0.0067499472378682	0.0607352923921636	0.0124417269892947	0.0518423897131142	0.0061890924536515	0.0708405656801599	0.0163109568402109	0.0532411012075815	0.0087911640020706	0.168783232089129	0.0149659459116246	0.1844737329118869	0.0092188211456468	0.0141206112952067	0.0219656539975993
6384	5.61541238216689	0.028453800600633	0.0116329497371636	0.0872055341453015	0.0230532089561106	0.0528709207062226	0.0114955334174122	0.1532558896408983	0.0276218775286501	0.0239248084340409	0.010493506263627	0.1217282320360276	0.02523318931582	0.0773103752823506	0.0096285131396469	0.1543960167365108	0.024751708393839	0.0200539772190199	0.014306165718034
