ID	redshift	Flux (Ha 6563) MAST G235M	F_err(Ha 6563) MAST G235M	Optimal dline (Ha 6563) MAST G235M	Flux (Hb 4861) MAST G235M	F_err(Hb 4861) MAST G235M	Optimal dline (Hb 4861) MAST G235M	Flux ([OIII]4959) MAST G235M	F_err([OIII]4959) MAST G235M	Optimal dline ([OIII]4959) MAST G235M	Flux ([OIII]5007) MAST G235M	F_err([OIII]5007) MAST G235M	Optimal dline ([OIII]5007) MAST G235M	Flux ([NII]6583) MAST G235M	F_err([NII]6583) MAST G235M	Optimal dline ([NII]6583) MAST G235M	Flux (Ha 6563) JADES G235M	F_err(Ha 6563) JADES G235M	Optimal dline (Ha 6563) JADES G235M	Flux (Hb 4861) JADES G235M	F_err(Hb 4861) JADES G235M	Optimal dline (Hb 4861) JADES G235M	Flux ([OIII]4959) JADES G235M	F_err([OIII]4959) JADES G235M	Optimal dline ([OIII]4959) JADES G235M	Flux ([OIII]5007) JADES G235M	F_err([OIII]5007) JADES G235M	Optimal dline ([OIII]5007) JADES G235M	Flux ([NII]6583) JADES G235M	F_err([NII]6583) JADES G235M	Optimal dline ([NII]6583) JADES G235M	Flux (Ha 6563) MAST G395M	F_err(Ha 6563) MAST G395M	Optimal dline (Ha 6563) MAST G395M	Flux (Hb 4861) MAST G395M	F_err(Hb 4861) MAST G395M	Optimal dline (Hb 4861) MAST G395M	Flux ([OIII]4959) MAST G395M	F_err([OIII]4959) MAST G395M	Optimal dline ([OIII]4959) MAST G395M	Flux ([OIII]5007) MAST G395M	F_err([OIII]5007) MAST G395M	Optimal dline ([OIII]5007) MAST G395M	Flux ([NII]6583) MAST G395M	F_err([NII]6583) MAST G395M	Optimal dline ([NII]6583) MAST G395M	Flux (Ha 6563) JADES G395M	F_err(Ha 6563) JADES G395M	Optimal dline (Ha 6563) JADES G395M	Flux (Hb 4861) JADES G395M	F_err(Hb 4861) JADES G395M	Optimal dline (Hb 4861) JADES G395M	Flux ([OIII]4959) JADES G395M	F_err([OIII]4959) JADES G395M	Optimal dline ([OIII]4959) JADES G395M	Flux ([OIII]5007) JADES G395M	F_err([OIII]5007) JADES G395M	Optimal dline ([OIII]5007) JADES G395M	Flux ([NII]6583) JADES G395M	F_err([NII]6583) JADES G395M	Optimal dline ([NII]6583) JADES G395M	Flux (Ha 6563) MAST G395H	F_err(Ha 6563) MAST G395H	Optimal dline (Ha 6563) MAST G395H	Flux (Hb 4861) MAST G395H	F_err(Hb 4861) MAST G395H	Optimal dline (Hb 4861) MAST G395H	Flux ([OIII]4959) MAST G395H	F_err([OIII]4959) MAST G395H	Optimal dline ([OIII]4959) MAST G395H	Flux ([OIII]5007) MAST G395H	F_err([OIII]5007) MAST G395H	Optimal dline ([OIII]5007) MAST G395H	Flux ([NII]6583) MAST G395H	F_err([NII]6583) MAST G395H	Optimal dline ([NII]6583) MAST G395H	Flux (Ha 6563) JADES G395H	F_err(Ha 6563) JADES G395H	Optimal dline (Ha 6563) JADES G395H	Flux (Hb 4861) JADES G395H	F_err(Hb 4861) JADES G395H	Optimal dline (Hb 4861) JADES G395H	Flux ([OIII]4959) JADES G395H	F_err([OIII]4959) JADES G395H	Optimal dline ([OIII]4959) JADES G395H	Flux ([OIII]5007) JADES G395H	F_err([OIII]5007) JADES G395H	Optimal dline ([OIII]5007) JADES G395H	Flux ([NII]6583) JADES G395H	F_err([NII]6583) JADES G395H	Optimal dline ([NII]6583) JADES G395H
5759	5.05189382127941			5.0	0.10348437692287558	0.0	5.0			5.0			5.0			5.0			5.0	0.25080763058089917	0.0	5.0			5.0			5.0			5.0	1.2886922429851553	0.07170524360478582	5.5	0.4393839766655531	0.11064849310295019	5.0	0.8887490399530298	0.10633254026732152	5.0	2.6151386428870045	0.13465176994692418	6.5	0.03325067745762357	0.06172180890301068	5.0	1.3814146270854117	0.1345824309959317	7.0	0.5715679965512686	0.12955781544682116	6.0	1.017257208199082	0.09642780195566455	5.0	2.04415818961093	0.10922062800443444	5.5	0.06608366191193549	0.11964387230278441	5.0	1.1501956209483466	0.14314818087946735	4.5	0.2982609401808707	0.20712505673960663	5.0	1.093624924571097	0.18754922311892777	4.5	2.7463477160043888	0.1839381151171567	4.5	0.2382431628277305	0.14305450113724225	5.0	1.2306287453223745	0.20117564802070192	7.0	0.12757653305253697	0.17849813679986395	5.0	0.7983989407722073	0.17151286942711583	5.0	2.378159967596174	0.18599652676476655	6.0	0.09154254654727316	0.12400689497598927	5.0
6002	5.93685818347379			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0	0.8685578619738088	0.038916337011209994	6.0	0.30460844786852276	0.03546003371452925	7.0	0.4999722657319814	0.027817202961568258	5.0	1.4613302451334436	0.0305061314962036	6.0	0.03610157297936284	0.03459390058113338	5.0	0.9901732422737576	0.0530920458237896	5.0	0.32051978168866885	0.045961430326074554	5.0	0.6426280803348513	0.04416279597941883	5.0	1.6796822386644785	0.04843336030020964	5.5	0.02127566884422668	0.052769934958885274	5.0	0.8579057625423234	0.042502188388979074	5.0	0.3057280347356788	0.03914534403058513	5.0	0.48191831020917214	0.03583662137541971	5.0	1.5453078589396363	0.03513795525899304	5.0	0.007228193805695131	0.04406015956213937	5.0	1.1278378760343741	0.0929335257827061	5.0	0.4078379788310535	0.06133968719571135	5.0	0.5965553331854281	0.058939246926096804	5.0	1.7743243762268568	0.055124069769028984	5.0	0.07352011709751166	0.09236969559109726	5.0
6246	5.56159788939357			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0	0.5847680542358362	0.04276853753988908	4.5	0.373870399514328	0.07156758060405677	5.0	0.39805419765722155	0.06876688646402379	4.5	1.0180578781845766	0.07541667856328783	6.0	0.02400923471988319	0.0425062408667167	5.0	0.7235773436964954	0.032633920972153944	5.5	0.35955643375988444	0.049393817265240524	5.5	0.3281592665949522	0.04245028494595139	5.0	1.140354369442708	0.04164028023040317	4.5	0.000895176821121008	0.029011577845914134	5.0	0.5852249603028375	0.07361435872782876	5.0	0.14478747289286747	0.08616298894010267	5.0	0.5701479990524433	0.08273571679379159	5.0	0.8717834073507142	0.08147749698488276	5.0	0.08562511729291462	0.0771053411910581	5.0	0.8462406583395675	0.057800525730969575	4.5	0.3659125089625819	0.05990721484867921	5.0	0.487166732654306	0.05756283232020724	5.0	1.2847425084880086	0.056464461233209126	5.0	0.12945373409041158	0.06055745738365271	5.0
6384	5.61541238216689			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0	0.20415784426076652	0.056364338512745776	4.5	0.28380446558751565	0.05203470055307631	4.5	0.18794854161517424	0.049996741540166194	5.0	0.43704176166751785	0.04904192880046828	5.0	0.041609166768955694	0.056022374560374226	5.0	0.5537365544375329	0.11814106147423595	5.0	0.9029347207643239	0.13633868775245186	7.0	0.8263579571113437	0.1310032696675536	7.5	0.8637490734680551	0.10492271971372948	4.5	0.15279068780166394	0.10169242378012554	5.0	0.4005816909961647	0.11085902484788702	5.0	0.09933450058699615	0.08080945161315202	5.0	0.30103211366256327	0.07759236479960545	5.0	0.43496045840796704	0.07608496452402438	5.0	0.024649379861913984	0.11669484056385027	5.0	0.16984702110093497	0.3879879973392786	5.0	0.2673118374276736	0.24662217820422147	5.0	0.14616186604373416	0.23697097463596542	5.0	0.46997394478847443	0.2324492710208195	5.0	0.19045915918222509	0.38563406376095805	5.0
7507	4.04428024657048			5.0	1.015787697839427	0.0934957588611192	6.0	1.534767586420552	0.08199760354300474	5.5	3.7743005112088825	0.08809809378416814	6.0			5.0			5.0	0.725620127613499	0.10457003871321678	5.0	1.2510936491064877	0.11233764127680664	5.0	3.178282149914501	0.12071158645322504	5.5			5.0	2.15347931222943	0.0839712497613366	5.5			5.0			5.0			5.0	0.1179126583198439	0.07308249542388714	5.0	2.0107348452235545	0.07815760480546745	5.0			5.0			5.0			5.0	0.29320967725301866	0.0776834205224519	5.0																2.5092150432501046	0.14924995277551156	5.0			5.0			5.0			5.0	0.1341874402481997	0.14834444931201538	5.0
7624	4.845			5.0			5.0	0.045636316465540186	0.1566336024182966	5.0	0.29107849591816914	0.14023696593838794	5.0			5.0			5.0			5.0	0.24266850971201684	0.22176961854373614	5.0	0.639045738253953	0.19858409417425552	5.0			5.0	0.25462564586598957	0.039658728308464945	6.0			5.0	0.28289358013064747	0.09948427012800347	5.5	0.1582988873759978	0.0845119424033345	5.0	0.05659238168216369	0.03413652424185962	5.0	0.46137630587518685	0.07852793839947106	5.0			5.0	0.7172267921508431	0.17517715446274812	5.0	0.5738046306605813	0.19841745258532748	5.0	0.12724996834061553	0.078051507292589	4.5	0.11500610861183416	0.07953909871941278	5.0			5.0	0.09180656086803764	0.11024569339881433	5.0	0.30226738412394005	0.1445817547861126	9.0	0.07941680528872469	0.07452025151362783	5.0	0.23869523416679486	0.16376866933028725	5.0			5.0	0.02225592348620112	0.21628593450056108	5.0	0.8622647328046789	0.21215892741267778	5.0	0.012769806163975857	0.16277508042434158	5.0
7762	4.14863310108243			5.0	1.1544145265920625	0.04897272454736482	5.5	2.1556856716880843	0.042949901212388404	5.0	6.081995318662637	0.042125669941808844	5.0			5.0			5.0	1.149283019749152	0.0610323276056073	4.5	2.1559242839272255	0.05864391541066494	5.0	5.996375334719064	0.06301538811560585	6.0			5.0	3.059008613409876	0.025626594108935048	5.0			5.0			5.0			5.0	0.09160009702701176	0.02546943168356808	5.0	3.694590793335421	0.03919331321653119	5.5			5.0			5.0			5.0	0.1318094648762234	0.03373647542375986	4.5	3.2369121127838842	0.03923587877903506	4.5			5.0			5.0			5.0	0.11744591621571432	0.038996851288280676	4.5	3.7165609331840903	0.07421522018250183	5.0			5.0			5.0			5.0	0.0809399231850186	0.0583163168922207	5.0
7809	3.57819206358422			5.0	0.8826060261810468	0.18198825182740494	5.0	3.85917930659459	0.24726399136990998	8.5	8.126396287207577	0.19173546636157612	5.0	0.06259622569847714	0.04985575927441485	5.0			5.0	1.3734912476413064	0.15410627517869974	5.0	2.642687289607984	0.14807554816247936	5.0	6.371077135560766	0.16239452726561848	5.0	0.09918595601911928	0.051340872060629913	5.0	3.5004338737538676	0.11913690130319447	4.5			5.0			5.0			5.0			5.0	3.7898685241250427	0.10853245085878738	8.0			5.0			5.0			5.0	0.2710297395316543	0.08355882682244599	4.5	3.805220667204183	0.18962270793509908	5.5			5.0			5.0			5.0	0.2166890285864118	0.1762786050408848	5.0	4.753397362054512	0.3088923646863199	5.5			5.0			5.0			5.0	0.325503996211406	0.2871893285333087	5.0
7892	4.22872754610498			5.0	0.8686821273081606	0.0546142287205186	6.0	1.7837044720321606	0.047894354425382826	4.5	4.893561929148667	0.05146222427417705	5.5			5.0			5.0	0.883624442771487	0.06055210456995989	5.5	1.857614360091217	0.058182485211533734	5.5	4.782980504011876	0.05209963473989924	4.5			5.0	2.393399828894455	0.02823475842756263	5.5			5.0			5.0			5.0	0.09155709867601736	0.02430447390922023	5.0	2.6469802308994312	0.026579509619852767	4.5			5.0			5.0			5.0	0.04881323481656297	0.02157041163407135	5.0	2.502216699684451	0.019664972993565306	5.0			5.0			5.0			5.0			5.0	2.8801061139736923	0.030018513129555183	5.0			5.0			5.0			5.0	0.012324850816810232	0.014918195002953494	5.0
7938	4.80631123887867			5.0	1.0175755526922883	0.10504249369466481	5.0	2.378915499845181	0.1235810611262282	7.5	6.296471883466911	0.09897074753920879	5.5			5.0			5.0	1.035833081862431	0.12619055044292765	5.0	2.5275525088493858	0.13282520147509927	5.0	7.432191381444752	0.13029072992383745	5.0			5.0	2.4780984875232748	0.03595560491178596	6.0			5.0	1.1307600796719404	0.0248792001231643	7.0	5.522463000711681	0.024404473759275763	4.5	0.041856881067688256	0.03095006418424645	5.0	3.241210682721002	0.06566426503889455	6.5			5.0	2.0157360836309017	0.1954835064973246	6.0	7.069072091727995	0.191753435844632	5.5	0.07306768588987082	0.058375576091411446	5.0	2.4636070538840684	0.048274944093461634	4.5			5.0	0.8936805978466746	0.03032053670943262	5.0	6.7539869546204265	0.04205501096245533	4.5	0.022863840355565018	0.050881283135336165	5.0	3.3614285814732376	0.0972896599996737	5.0			5.0	2.7510811298280884	0.13808560407852988	5.0	7.742146509266282	0.13545075744337018	5.0	0.09946841896277334	0.10256520330219132	5.0
