ID	redshift	Flux (Ha 6563) MAST	F_err(Ha 6563) MAST	Flux (Ha 6563) JADES	F_err(Ha 6563) JADES	Flux (Hb 4861) MAST	F_err(Hb 4861) MAST	Flux (Hb 4861) JADES	F_err(Hb 4861) JADES	Flux ([OIII]4959) MAST	F_err([OIII]4959) MAST	Flux ([OIII]4959) JADES	F_err([OIII]4959) JADES	Flux ([OIII]5007) MAST	F_err([OIII]5007) MAST	Flux ([OIII]5007) JADES	F_err([OIII]5007) JADES	Flux ([NII]6583) MAST	F_err([NII]6583) MAST
3184	3.46762	1.6340809045750817	0.029564014911178882	1.1499199065426726	0.03220007960659583	0.7458369030663159	0.032202817761857065	0.44886727135307886	0.025331469127549494	1.5266858700564994	0.04008248386892824	0.9184900041765883	0.025725358086032747	3.644652997180222	0.03913878379699663	2.2850717543391585	0.02523448596620165	0.12438636619212763	0.2705578074706156
3334	6.70593																		
3968	5.76847043540196																		
4197	3.748809	0.09050043577533022	0.15141523581458452	0.06907532881456278	0.21143390550968294	0.042745709717423634	0.02256698148427253	0.06888599968346788	0.05203506837713753	0.05547232398946131	0.023669628739258725	0.038500050129091544	0.04584230197398722	0.0006046079249209337	0.023216830651296476	0.03562455115846175	0.04496757331626728	0.042229324955127816	0.16046896050979792
4270	4.02261238702772					0.8515010900712912	0.027760886381781456	0.5959104829225066	0.020851452163223094	1.455770936512151	0.03688548377346626	1.3420160563386097	0.02013984523213434	4.430567304168322	0.036179411611740826	3.794517257358361	0.018741761949017437		
4282	3.599695	0.06955831739004774	0.02885370563117068	0.037050583415899174	0.06869984430864985	0.010227572745227346	0.03301564323888403	0.08994370799206479	0.05979613040807559	0.03965997869939286	0.02737870133976743	0.17395134161608597	0.058055995932646834	0.14460158482186364	0.02837817528355297	0.19272549310648354	0.06040270314908402	0.08943138555093842	0.03115571905553729
4297	6.712776																		
4404	5.763688																		
5329	3.5873007444784	0.26182211376501524	0.022443069041183972	0.2252640885255496	0.027451030418063474	0.18078979365713332	0.021980702890494568	0.15143515052446455	0.033093936289011965	0.13534090723703224	0.02264175461684339	0.1200709599024115	0.03542111474635509	0.3460778635295428	0.023555728480265752	0.32459396569452764	0.03685288736956191	0.04715022757039376	0.033927245334371095
5457	4.8631511339788							0.023665669838366488	0.026572819405421975			0.06825680917031961	0.027924768245398256			0.2618209635936358	0.027391928619275228		
5759	5.05189382127941					0.05261436971375322	0.062265059177229874	0.050991793224935994	0.03403006145400932										
6002	5.93685818347379																		
6246	5.56159788939357																		
6384	5.61541238216689																		
7507	4.04428024657048					0.20814028362304432	0.024945597129945932	0.12037588565592726	0.03059973033437243	0.3384254069785223	0.024276567076022087	0.250660233836426	0.030413505171187006	0.7835625618846692	0.02381094205272548	0.6355740000548499	0.03144693005795279		
7624	4.845									0.015373293980746095	0.03529611433399538	0.01965773110643183	0.04766589543396951	0.06716463598575691	0.03461980064076915	0.10126250737026679	0.04903849490440686		
