ID	redshift	Flux (Ha 6563) MAST	F_err(Ha 6563) MAST	Flux (Ha 6563) JADES	F_err(Ha 6563) JADES	Flux (Hb 4861) MAST	F_err(Hb 4861) MAST	Flux (Hb 4861) JADES	F_err(Hb 4861) JADES	Flux ([OIII]4959) MAST	F_err([OIII]4959) MAST	Flux ([OIII]4959) JADES	F_err([OIII]4959) JADES	Flux ([OIII]5007) MAST	F_err([OIII]5007) MAST	Flux ([OIII]5007) JADES	F_err([OIII]5007) JADES	Flux ([NII]6583) MAST	F_err([NII]6583) MAST
3184	3.46762	1.6361544143906426	0.04558463058400096	1.343458723553685	0.025451616614368303													0.11665602044478321	0.2422332779270328
3334	6.70593	0.03560889935897132	0.015849039766857552	0.05243096624317436	0.01592295778128211	0.004105098807673469	0.009244596696323238	0.02934938105994461	0.009582631338311987	0.020913981916383852	0.009401427640495934	0.05630242130857571	0.01004402610212387	0.07462661317585294	0.009221900522558992	0.1684283789826243	0.009288906796077677	0.027235625409405852	0.017992089797288016
3968	5.76847043540196	0.04142968877522296	0.008423513371078621	0.022016517904959818	0.01233992337742348	0.030612976301062775	0.0159876200445122	0.017896213988516343	0.013407967445847619	0.04299145241521021	0.01374571422225785	0.05158262216917302	0.014132024033052835	0.10207162652607994	0.013440458943862244	0.11989627202351599	0.01386236727758896	0.011618236718126448	0.015246638803685755
4197	3.748809	0.019785284988991684	0.01277361782832584	0.023801093027339702	0.023778766635826922													0.0229221607151274	0.01273154207944758
4270	4.02261238702772	2.3687072228920245	0.053507824640207896	2.548134037626813	0.02103858412108289													0.3177285172504896	0.36405205776669725
4282	3.599695	0.07926387069019142	0.01770563481967793	0.3055643999573416	0.04547497992580616													0.02179925900200532	0.0193619600802585
4297	6.712776	0.17350811358665155	0.01600267782056461	0.22696740859507156	0.021937519591964747	0.04244257176115895	0.011063529675402924	0.07635552172220285	0.4056117247217636	0.08133440866034891	0.009841866487195696	0.14386177362222058	0.039126894477496885	0.29705851767399766	0.009101626553319293	0.3746405301851961	0.03618529784033318	0.023401669840341977	0.03357697475250554
4404	5.763688	0.35222539641487166	0.00931621417572192	0.45529990892415595	0.013615219976661607	0.14134969787946197	0.010300754446632795	0.14189349403822132	0.024935731897341457	0.23734270406909427	0.012118463563359175	0.298047992503891	0.0203187688236078	0.6951681346206983	0.011859674538959915	0.811304034857535	0.019931061212644378	0.02783894848355505	0.05612651879472234
5329	3.5873007444784	0.20287642321805385	0.014626308977135943	0.2783300335017188	0.024167066938599484													0.11062144260512899	0.03506487897153743
5457	4.8631511339788			0.15506585159875338	0.011996692554371144							0.1257681435619409	0.030786665419182613			0.2743541031050097	0.02795904228398971		
5759	5.05189382127941	0.2392543916699639	0.012134084720065741	0.23715254445844944	0.02249390834977382	0.10436570848774696	0.02546203784617993	0.12158215295818213	0.032967028898956974	0.18416735692705577	0.028245745847774614	0.15473676567396263	0.022565692458208286	0.43138171769981876	0.027707569827730948	0.3141754223207463	0.022135110724207815	0.025560181427108825	0.05002078542807597
6002	5.93685818347379	0.1356765953674698	0.006641534147799386	0.15359436455058587	0.009991183651724312	0.048871800421958864	0.005384509507790988	0.06180877248433459	0.007380068856576777	0.0771961196640399	0.005419065632341384	0.09111780277092349	0.007710897393484517	0.21427757659178012	0.0053155751754180814	0.24205703770647666	0.007075253167321988	0.0121890124171464	0.024849620680121927
6246	5.56159788939357	0.11074312896539774	0.010716493427947846	0.11371596806209675	0.00674994723786824	0.06073529239216365	0.012441726989294754	0.051842389713114265	0.006189092453651563	0.07084056568015992	0.01631095684021097	0.053241101207581513	0.00879116400207065	0.16878323208912904	0.01496594591162462	0.1844737329118869	0.0092188211456468	0.014120611295206762	0.02196565399759932
6384	5.61541238216689	0.028453800600633097	0.011632949737163648	0.08720553414530159	0.02305320895611063	0.052870920706222624	0.011495533417412227	0.15325588964089834	0.027621877528650154	0.0239248084340409	0.010493506263627031	0.12172823203602764	0.02523318931582008	0.07731037528235066	0.009628513139646914	0.15439601673651085	0.024751708393839025	0.0200539772190199	0.014306165718034095
7507	4.04428024657048	0.46279832946624344	0.0178264855005087	0.49751495076787206	0.02857348827392898													0.038263042097397004	0.08117317590630645
7624	4.845	0.06189851571187783	0.009219074350560562	0.08342363353540921	0.020043405257379084					0.05701912593899719	0.020043649093332176	0.11417289201861569	0.04631747300046357	0.031112097027924612	0.019661191112117084	0.06806844166726045	0.04206341182051023	0.017295346832501786	0.010632139269620075
7762	4.14863310108243	0.6737747748638699	0.006643442910781996	0.755974135982474	0.008419004317571893													0.036620693243814034	0.11277126979260764
7809	3.57819206358422	0.8208060076593263	0.037991888370388895	0.8278089847453872	0.023296664575963622													0.09552037364162605	0.14259535875090823
7892	4.22872754610498	0.48053140977191294	0.0058586027839340775	0.5531951775954446	0.009742115376345888													0.022599271169724197	0.07338971634433061
7938	4.80631123887867	0.45772896812956776	0.009412104959236845	0.5736794514669272	0.01419369148125531					0.20340726516458396	0.00688532853240955	0.32742229789081145	0.04641222163786191	1.069910497404967	0.00827186295704298	1.2679011902362447	0.0421494582020654	0.0006952419870451102	0.06860766570597616
8013	8.47315					0.033816899433031455	0.007288035600705661	0.015391189154742154	0.01735058967041339	0.03530404476004157	0.010491372246544759	0.083908232564881	0.02852558917368638	0.11219223197920558	0.01079199275410856	0.1487342334099181	0.02667910857063424		
8079	7.258982					0.013104883773911898	0.005186239824382204	0.02141651422130579	0.008266565643560717	0.001483717648809058	0.00513815543370274	0.011272754353265635	0.007757452688504434	0.001746360846250937	0.005039591719527522	0.0030652122149488173	0.00760943075493329		
8083	4.6487198664651	1.4811591287506272	0.025110324327583568	1.7823826346239502	0.033743793213965534													0.16230755657235177	0.20362788404342075
8113	4.90277103561231	0.27038197331790836	0.009730631069697805	0.31252706836798166	0.013161847091340917					0.2178412199887725	0.016302235997697236	0.21983236368246997	0.014793997665513042	0.6719834412716489	0.017272327598568893	0.6388908806599143	0.013435232450396847	0.014941209651051408	0.05450528100155895
9422	5.935895					0.2507855131140549	0.008500352581962169	0.3003677909885106	0.009495018401755229	0.45475043834681156	0.00750970041122754	0.5803894577912908	0.011671597471485835	1.3061821663893134	0.007382498099630869	1.628019189214378	0.011448888742865997		
9452	5.12243857379367	0.2556696596779146	0.015572354261367103	0.2798879775561871	0.038460207419566725	0.19509511592083223	0.02988457524785372	0.203885658939939	0.10246802967067761	0.2507874879249356	0.035851821654465384	0.06323487264846799	0.0658677813088262	0.6561376739084016	0.03516705910700574	0.569156025697546	0.06978779288499143	0.03709476386568896	0.037837257367184754
9743	5.44012039584156	0.24663609254578167	0.020658822425402477	0.40576219720484163	0.046072017542707525	0.07290128789403509	0.01874825695232256	0.1330780753336233	0.03207654850248209	0.13094196454876622	0.01712931115313783	0.19407976647577052	0.041236348008038735	0.24261238952278616	0.01680166770240552	0.3461725762464983	0.04324234161667666	0.037138240386559954	0.058386362997617326
16625	6.630648	0.17021311693186184	0.008915643516826522	0.26098201469086635	0.014532783487053566	0.050004257180565864	0.00619103332210527	0.09500069187880765	0.011884082879005201	0.07269675104396367	0.005326835483328421	0.09094386232188292	0.007405987270428051	0.21690289755297265	0.004925709980622756	0.3026466936452408	0.006849198198856621	0.014079493412701807	0.029713595058287506
16745	5.56655234405774	0.3577978375179483	0.006926803874025359	0.3369392665293653	0.009691543377695077	0.12397368280149672	0.013436420099649873	0.05881089217545255	0.022706417336320835									0.02914405159417707	0.053995358974839855
17072	4.70200977971638	0.1028814894164912	0.00905916899785862	0.09436639133194791	0.0097654146781857													0.026571619860183655	0.014443703750415182
17260	4.88512714601353	0.06591120420796545	0.00884166951915857	0.07218724438069904	0.009830694500399209					0.010238556742042496	0.012148376073736615	0.0028541963631342087	0.01575003075456088	0.04510497010774401	0.011031867997000627	0.05821393672531972	0.014303458001868004	0.0002114945900410197	0.01231153107973934
17566	6.101534	0.3345363970874155	0.023401624069916464	0.2290101933651646	0.01723635488538811	0.12296658858700818	0.024291440664804865	0.09671413150543354	0.013349885031552149	0.2596148157431818	0.02214615089340098	0.16464008076769604	0.01614383655821224	0.7598288602891217	0.023221598372221194	0.48548535554579053	0.015835791894770256	0.039607471357006874	0.05330796106865127
17777	4.13366013096712	0.145907123616441	0.0095282499659299	0.12977386266213994	0.013539737857910478													0.02762954513225474	0.023041436467034455
18028	3.73094591607022																		
18090	4.77562372049334	0.6468479345395785	0.010685972429056499	0.8347810511937319	0.012045735738472688									1.829118110887731	0.009332922334030554	2.1447095236811333	0.020017639001034964	0.04594123019816794	0.10563198443711021
18846	6.335054	0.4135913098464242	0.010900325983719367	0.5314856587345486	0.011605910231301315	0.18181726217294972	0.008275875258685762	0.1557607244018801	0.01037325571662574	0.2839924566340071	0.007434967033055427	0.3102221511415123	0.011849305988748936	0.769868706856486	0.007292492010639094	0.8103457091880988	0.012328272052922957	0.016724407621544757	0.06958646994581442
18970	3.72458828704365	1.2424342607210348	0.01847233967837957	2.4724212372452934	0.07488794191792418													0.14582122164786762	0.1878736733632527
18976	6.327052	0.13248300523004658	0.01283087579860682	0.14909996108383713	0.014175766188346865	0.09115389172383508	0.011369631553850191	0.06257582204417758	0.009722066724144175	0.06848206840744993	0.009663234491404169	0.06527004500990448	0.01149137886876268	0.2493255130593985	0.010052931537802894	0.21519571936877327	0.01127210893727223	0.008996619981140982	0.029228042722971116
19342	5.974287	0.25810354788865203	0.013370169359876371	0.20855438748535962	0.01122211677718252	0.18284627946913226	0.01576908276030586	0.0906889141661299	0.011809220896110091	0.1634302802427009	0.017281270552330443	0.09785450818248435	0.012287069297610947	0.46504762961463514	0.016991195273633762	0.29082619315633457	0.012052616594077758	0.009023734421924024	0.04660964082491158
19519	3.60450973158305	0.8058934182099393	0.012110031396140657	0.8468695815939388	0.015466891184576581													0.03396510241658856	0.13392867816923462
19606	5.88913558713673	0.20263250158024598	0.0088122585645927	0.27344197101163736	0.029879654131265667	0.07927550571769393	0.011165402124096687	0.08345264670570811	0.020575877427642084	0.08384031030698653	0.013805640562722002	0.11846012230909449	0.01977691311285252	0.2896129331604358	0.012699168374993746	0.3983080876880251	0.019399544788923518	0.012477691952564943	0.03710302670758042
20961	7.04457065169479					0.023608889308720935	0.01025989548115986	0.06339122909113701	0.011210743913077949	0.02786813420881092	0.012207368794276557	0.04157839572993204	0.016253635377996813	0.08218951779347368	0.01197266336983871	0.11944401798010001	0.015943495615265608		
22251	5.79838391626917	0.630802700715153	0.013673713379606668	0.5143960895493332	0.013201747786693644	0.24125443911425276	0.017195333902276344	0.1927098506821641	0.013171659048625908	0.5099468563887786	0.01346536561890506	0.36371790229655254	0.012166315363250592	1.4100454430569385	0.0132072180591645	1.0043492017572833	0.011934166796342658	0.02439982330652188	0.10582557360603582
10000626	4.46468607001795	0.0891533291800756	0.005109170725073118	0.11896293836292479	0.009612207254636542													0.009349863332720004	0.017097083825542946
10001587	3.43070237834676	0.048548072260948115	0.00939372130352568	0.055329492532818075	0.016946387534218756													0.004300525112461676	0.01847393642659351
10001892	4.770522	0.03065409811944054	0.0053005536449909005	0.03289043270306455	0.007836398514990637									0.025011364068662813	0.004342818408880367	0.019052773722461263	0.007705612473915142	0.005716849125369372	0.007742173873803197
10005113	5.820838					0.022943583937627895	0.006233295191070024	0.019522192310223542	0.008558578176419633	0.041267227551824784	0.0067247564152574674	0.04859649103341581	0.010721113274081095	0.13895138030699136	0.006170272264603579	0.19614853870386803	0.01051654097688621		
