ID	redshift	Flux (Ha 6563) MAST	F_err(Ha 6563) MAST	Flux (Ha 6563) JADES	F_err(Ha 6563) JADES	Flux (Hb 4861) MAST	F_err(Hb 4861) MAST	Flux (Hb 4861) JADES	F_err(Hb 4861) JADES	Flux ([OIII]4959) MAST	F_err([OIII]4959) MAST	Flux ([OIII]4959) JADES	F_err([OIII]4959) JADES	Flux ([OIII]5007) MAST	F_err([OIII]5007) MAST	Flux ([OIII]5007) JADES	F_err([OIII]5007) JADES	Flux ([NII]6583) MAST	F_err([NII]6583) MAST	Flux ([NII]6583) JADES	F_err([NII]6583) JADES	Optimal dline (Ha) MAST	Optimal dline (Ha) JADES	Optimal dline (Hb) MAST	Optimal dline (Hb) JADES	Optimal dline ([OIII]5007) MAST	Optimal dline ([OIII]4959) MAST	Optimal dline ([OIII]4959) JADES	Optimal dline ([OIII]5007) JADES	Optimal dline ([NII]6583) MAST	Optimal dline ([NII]6583) JADES
7809	3.57819206358422	3.5004338737538676	0.1354800447526385	3.7898685241250427	0.10922096320434867													0.27975447510341456	0.5243262711968718	0.2710297395316543	0.46438379289466897	4.5	8.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
7892	4.22872754610498	2.393399828894455	0.033660188474208826	2.6469802308994312	0.05286144733627299													0.09155709867601736	0.277443979375107	0.05284612882272373	0.32253127567242035	5.5	4.5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
7938	4.80631123887867	2.4780984875232748	0.04735363510234889	3.241210682721002	0.06621900908266265					1.1307600796719404	0.03462227574364479	2.0157360836309017	0.2037106080154079	5.522463000711681	0.033961639268518584	7.378010964139728	0.2234095250577599	0.041856881067688256	0.27859052408622775	0.07306768588987082	0.43875703694039314	6.0	6.5	5.0	5.0	4.5	7.0	6.0	7.5	5.0	5.0
8013	8.47315					0.29943170276517767	0.05117321195031045	0.3200597162770404	0.10125369969926744	0.21930610479783139	0.07027300804731945	0.45048350981296165	0.18218713101524178	0.873130555336841	0.06892659520762852	1.3781766128157424	0.17871077189487997					5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
8079	7.258982					0.053531135695799086	0.02783470875738825	0.09996532321272845	0.04239050678946358	0.07141140667873962	0.031631466192917033	0.06302989274812894	0.04271244141345826	0.08006318418302281	0.031025422509530557	0.04218545380670587	0.04684275572687354					5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
8083	4.6487198664651	6.882685781445805	0.23906963718990537	7.429146490845964	0.4452150977529435													0.48690627362449773	0.8092819146875666	0.6185302997796143	0.9585741169913097	4.5	4.5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
8113	4.90277103561231	1.50070997509397	0.04925229539257455	1.785848901591545	0.06175095577639887					1.2395353878961335	0.07857446639649418	1.1626223524936945	0.05716801209656248	3.894120065979175	0.07707006517818726	3.764914160213515	0.056077174674965556	0.01177167269397126	0.2047071756781455	0.04665005790493577	0.22828654223527642	5.5	6.0	5.0	5.0	6.0	5.5	5.0	4.5	5.0	5.0
9422	5.935895					1.636731919228461	0.03805756008820871	2.0122085686403404	0.039510431378607935	3.0032331542570225	0.03683071278593209	3.836711536288453	0.05724239725763173	8.600456659473696	0.0362868016711448	10.420072296471975	0.05615014047379622					5.0	5.0	5.0	4.5	5.0	4.5	5.0	5.0	5.0	5.0
9452	5.12243857379367	1.2892504002651355	0.08115074754288001	1.6170853137351797	0.2038618801812663	0.9760435505912648	0.14683077102517905	0.24401262721864378	0.383794535348665	0.9904688364761747	0.14369685769490728	0.5342210500008112	0.32926975607341935	3.640082697369178	0.1819672308469007	3.20207934872378	0.2797148395885925	0.1180341856182064	0.15231782823979628	0.20236375211767307	0.38027029782440314	6.0	4.5	4.5	5.0	6.5	5.0	5.0	5.0	5.0	5.0
9743	5.44012039584156	1.589994031140164	0.10357531231863884	2.458099768946839	0.21782612595276343	0.391939465144906	0.07480238046560146	0.8075195274281715	0.15583089156146104	0.5929341276741454	0.0722180058556123	1.02835170443843	0.20074981707160722	1.660497371452914	0.08179627296007486	2.3590909540590563	0.19691925860348006	0.144382033373914	0.2638206572754377	0.2533354752698735	0.4289342381019279	5.0	5.0	5.0	5.5	5.0	5.0	5.0	4.5	5.0	5.0
