ID	redshift	Flux (Ha 6563) MAST G235M	F_err(Ha 6563) MAST G235M	Optimal dline (Ha 6563) MAST G235M	Flux (Hb 4861) MAST G235M	F_err(Hb 4861) MAST G235M	Optimal dline (Hb 4861) MAST G235M	Flux ([OIII]4959) MAST G235M	F_err([OIII]4959) MAST G235M	Optimal dline ([OIII]4959) MAST G235M	Flux ([OIII]5007) MAST G235M	F_err([OIII]5007) MAST G235M	Optimal dline ([OIII]5007) MAST G235M	Flux ([NII]6583) MAST G235M	F_err([NII]6583) MAST G235M	Optimal dline ([NII]6583) MAST G235M	Flux ([OIII]4363) MAST G235M	F_err([OIII]4363) MAST G235M	Optimal dline ([OIII]4363) MAST G235M	Flux (Ha 6563) JADES G235M	F_err(Ha 6563) JADES G235M	Optimal dline (Ha 6563) JADES G235M	Flux (Hb 4861) JADES G235M	F_err(Hb 4861) JADES G235M	Optimal dline (Hb 4861) JADES G235M	Flux ([OIII]4959) JADES G235M	F_err([OIII]4959) JADES G235M	Optimal dline ([OIII]4959) JADES G235M	Flux ([OIII]5007) JADES G235M	F_err([OIII]5007) JADES G235M	Optimal dline ([OIII]5007) JADES G235M	Flux ([NII]6583) JADES G235M	F_err([NII]6583) JADES G235M	Optimal dline ([NII]6583) JADES G235M	Flux ([OIII]4363) JADES G235M	F_err([OIII]4363) JADES G235M	Optimal dline ([OIII]4363) JADES G235M	Flux (Ha 6563) MAST G395M	F_err(Ha 6563) MAST G395M	Optimal dline (Ha 6563) MAST G395M	Flux (Hb 4861) MAST G395M	F_err(Hb 4861) MAST G395M	Optimal dline (Hb 4861) MAST G395M	Flux ([OIII]4959) MAST G395M	F_err([OIII]4959) MAST G395M	Optimal dline ([OIII]4959) MAST G395M	Flux ([OIII]5007) MAST G395M	F_err([OIII]5007) MAST G395M	Optimal dline ([OIII]5007) MAST G395M	Flux ([NII]6583) MAST G395M	F_err([NII]6583) MAST G395M	Optimal dline ([NII]6583) MAST G395M	Flux ([OIII]4363) MAST G395M	F_err([OIII]4363) MAST G395M	Optimal dline ([OIII]4363) MAST G395M	Flux (Ha 6563) JADES G395M	F_err(Ha 6563) JADES G395M	Optimal dline (Ha 6563) JADES G395M	Flux (Hb 4861) JADES G395M	F_err(Hb 4861) JADES G395M	Optimal dline (Hb 4861) JADES G395M	Flux ([OIII]4959) JADES G395M	F_err([OIII]4959) JADES G395M	Optimal dline ([OIII]4959) JADES G395M	Flux ([OIII]5007) JADES G395M	F_err([OIII]5007) JADES G395M	Optimal dline ([OIII]5007) JADES G395M	Flux ([NII]6583) JADES G395M	F_err([NII]6583) JADES G395M	Optimal dline ([NII]6583) JADES G395M	Flux ([OIII]4363) JADES G395M	F_err([OIII]4363) JADES G395M	Optimal dline ([OIII]4363) JADES G395M	Flux (Ha 6563) MAST G395H	F_err(Ha 6563) MAST G395H	Optimal dline (Ha 6563) MAST G395H	Flux (Hb 4861) MAST G395H	F_err(Hb 4861) MAST G395H	Optimal dline (Hb 4861) MAST G395H	Flux ([OIII]4959) MAST G395H	F_err([OIII]4959) MAST G395H	Optimal dline ([OIII]4959) MAST G395H	Flux ([OIII]5007) MAST G395H	F_err([OIII]5007) MAST G395H	Optimal dline ([OIII]5007) MAST G395H	Flux ([NII]6583) MAST G395H	F_err([NII]6583) MAST G395H	Optimal dline ([NII]6583) MAST G395H	Flux ([OIII]4363) MAST G395H	F_err([OIII]4363) MAST G395H	Optimal dline ([OIII]4363) MAST G395H	Flux (Ha 6563) JADES G395H	F_err(Ha 6563) JADES G395H	Optimal dline (Ha 6563) JADES G395H	Flux (Hb 4861) JADES G395H	F_err(Hb 4861) JADES G395H	Optimal dline (Hb 4861) JADES G395H	Flux ([OIII]4959) JADES G395H	F_err([OIII]4959) JADES G395H	Optimal dline ([OIII]4959) JADES G395H	Flux ([OIII]5007) JADES G395H	F_err([OIII]5007) JADES G395H	Optimal dline ([OIII]5007) JADES G395H	Flux ([NII]6583) JADES G395H	F_err([NII]6583) JADES G395H	Optimal dline ([NII]6583) JADES G395H	Flux ([OIII]4363) JADES G395H	F_err([OIII]4363) JADES G395H	Optimal dline ([OIII]4363) JADES G395H
5759	5.05189382127941			5.0	1.034843769228756	0.0	5.0			5.0			5.0			5.0	4.715219632151218	0.0	5.0			5.0	2.508076305808992	0.0	5.0			5.0			5.0			5.0	4.120655186009718	0.0	5.0	12.886922429851552	0.7170524360478582	5.5	4.393839766655532	1.106484931029502	5.0	8.887490399530298	1.063325402673215	5.0	26.151386428870044	1.3465176994692418	6.5	0.33250677457623573	0.6172180890301068	5.0			5.0	13.814146270854117	1.345824309959317	7.0	5.7156799655126855	1.2955781544682115	6.0	10.172572081990818	0.9642780195566454	5.0	20.4415818961093	1.0922062800443444	5.5	0.660836619119355	1.1964387230278442	5.0			5.0	11.501956209483465	1.4314818087946735	4.5	2.982609401808707	2.0712505673960657	5.0	10.93624924571097	1.8754922311892777	4.5	27.463477160043894	1.8393811511715672	4.5	2.3824316282773053	1.4305450113724225	5.0			5.0	12.306287453223744	2.011756480207019	7.0	1.2757653305253698	1.7849813679986395	5.0	7.983989407722073	1.7151286942711583	5.0	23.781599675961736	1.8599652676476657	6.0	0.9154254654727316	1.2400689497598927	5.0			5.0
6002	5.93685818347379			5.0			5.0			5.0			5.0			5.0	0.3244660597601694	0.0	5.0			5.0			5.0			5.0			5.0			5.0	0.9408639605774826	0.0	5.0	8.685578619738088	0.3891633701120999	6.0	3.046084478685228	0.35460033714529254	7.0	4.999722657319814	0.2781720296156826	5.0	14.613302451334437	0.30506131496203603	6.0	0.36101572979362834	0.3459390058113338	5.0	0.07201076499102035	0.31126743120105005	5.0	9.901732422737576	0.530920458237896	5.0	3.2051978168866886	0.4596143032607456	5.0	6.426280803348512	0.4416279597941883	5.0	16.796822386644784	0.4843336030020964	5.5	0.2127566884422668	0.5276993495888528	5.0	1.1986662745832497	0.5705245691906929	5.0	8.579057625423234	0.4250218838897908	5.0	3.0572803473567873	0.3914534403058513	5.0	4.8191831020917215	0.3583662137541971	5.0	15.453078589396364	0.3513795525899305	5.0	0.07228193805695131	0.4406015956213937	5.0	0.45039516156200626	0.48757936838022625	5.0	11.278378760343744	0.9293352578270611	5.0	4.078379788310535	0.6133968719571136	5.0	5.965553331854281	0.5893924692609681	5.0	17.743243762268566	0.5512406976902898	5.0	0.7352011709751166	0.9236969559109726	5.0	1.832200226142186	0.7259822969005579	5.0
6246	5.56159788939357			5.0			5.0			5.0			5.0			5.0	1.7627035287510642	0.0	5.0			5.0			5.0			5.0			5.0			5.0	1.547336472757086	0.0	5.0	5.847680542358362	0.4276853753988908	4.5	3.73870399514328	0.7156758060405677	5.0	3.980541976572216	0.6876688646402379	4.5	10.180578781845767	0.7541667856328784	6.0	0.2400923471988319	0.42506240866716694	5.0			5.0	7.235773436964954	0.3263392097215394	5.5	3.595564337598844	0.49393817265240525	5.5	3.2815926659495225	0.4245028494595139	5.0	11.40354369442708	0.41640280230403165	4.5	0.00895176821121008	0.2901157784591413	5.0			5.0	5.852249603028376	0.7361435872782877	5.0	1.4478747289286749	0.8616298894010268	5.0	5.701479990524433	0.8273571679379159	5.0	8.717834073507142	0.8147749698488276	5.0	0.8562511729291463	0.771053411910581	5.0			5.0	8.462406583395676	0.5780052573096958	4.5	3.6591250896258187	0.599072148486792	5.0	4.871667326543061	0.5756283232020724	5.0	12.847425084880086	0.5646446123320912	5.0	1.2945373409041159	0.605574573836527	5.0			5.0
6384	5.61541238216689			5.0			5.0			5.0			5.0			5.0	0.6876199852590044	0.0	5.0			5.0			5.0			5.0			5.0			5.0	0.11343464440170162	0.0	5.0	2.0415784426076655	0.5636433851274578	4.5	2.8380446558751564	0.5203470055307631	4.5	1.8794854161517422	0.49996741540166184	5.0	4.370417616675178	0.4904192880046828	5.0	0.41609166768955697	0.5602237456037422	5.0	0.13432318776581967	0.6459448686532648	5.0	5.537365544375328	1.1814106147423595	5.0	9.029347207643239	1.3633868775245186	7.0	8.263579571113437	1.3100326966755358	7.5	8.637490734680549	1.0492271971372948	4.5	1.5279068780166396	1.0169242378012555	5.0	0.0244331755683844	1.1966989996186064	5.0	4.005816909961648	1.10859024847887	5.0	0.9933450058699614	0.8080945161315202	5.0	3.010321136625633	0.7759236479960545	5.0	4.34960458407967	0.7608496452402439	5.0	0.2464937986191398	1.1669484056385027	5.0	1.7243940089316636	0.9544048649313498	4.5	1.6984702110093497	3.8798799733927862	5.0	2.673118374276736	2.4662217820422145	5.0	1.4616186604373416	2.3697097463596544	5.0	4.6997394478847445	2.324492710208195	5.0	1.9045915918222507	3.856340637609581	5.0	6.917742965054383	3.061349722465231	5.0
7507	4.04428024657048			5.0	10.157876978394269	0.9349575886111919	6.0	15.34767586420552	0.8199760354300473	5.5	37.743005112088824	0.8809809378416813	6.0			5.0	1.537800032710413	1.0601531486003961	5.0			5.0	7.25620127613499	1.0457003871321677	5.0	12.510936491064877	1.1233764127680663	5.0	31.782821499145008	1.2071158645322504	5.5			5.0	0.620420047995178	1.4512528695693607	5.0	21.534793122294296	0.8397124976133662	5.5			5.0			5.0			5.0	1.179126583198439	0.7308249542388715	5.0			5.0	20.107348452235545	0.7815760480546746	5.0			5.0			5.0			5.0	2.9320967725301865	0.776834205224519	5.0			5.0																			25.092150432501043	1.4924995277551154	5.0			5.0			5.0			5.0	1.341874402481997	1.4834444931201538	5.0			5.0
7624	4.845			5.0			5.0	0.4563631646554019	1.5663360241829662	5.0	2.9107849591816914	1.4023696593838793	5.0			5.0	1.0575755677111103	2.02602769865509	5.0			5.0			5.0	2.4266850971201683	2.2176961854373616	5.0	6.39045738253953	1.985840941742555	5.0			5.0	3.0196990318617067	2.8649684258719694	5.0	2.5462564586598955	0.39658728308464936	6.0			5.0	2.828935801306475	0.9948427012800347	5.5	1.582988873759978	0.8451194240333451	5.0	0.565923816821637	0.34136524241859617	5.0			5.0	4.613763058751869	0.7852793839947106	5.0			5.0	7.17226792150843	1.7517715446274809	5.0	5.7380463066058125	1.9841745258532746	5.0	1.2724996834061553	0.7805150729258901	4.5			5.0	1.1500610861183416	0.7953909871941278	5.0			5.0	0.9180656086803763	1.1024569339881432	5.0	3.0226738412394	1.445817547861126	9.0	0.7941680528872469	0.7452025151362782	5.0			5.0	2.3869523416679486	1.6376866933028726	5.0			5.0	0.2225592348620112	2.162859345005611	5.0	8.622647328046787	2.121589274126778	5.0	0.12769806163975855	1.6277508042434157	5.0			5.0
7762	4.14863310108243			5.0	11.544145265920625	0.48972724547364815	5.5	21.556856716880844	0.429499012123884	5.0	60.819953186626364	0.42125669941808846	5.0			5.0	1.7002772552135952	0.43012442202906104	5.0			5.0	11.492830197491516	0.610323276056073	4.5	21.559242839272255	0.5864391541066495	5.0	59.96375334719064	0.6301538811560584	6.0			5.0	2.5543148499791752	0.5868354949783193	5.0	30.590086134098758	0.2562659410893505	5.0			5.0			5.0			5.0	0.9160009702701176	0.25469431683568083	5.0			5.0	36.94590793335421	0.3919331321653119	5.5			5.0			5.0			5.0	1.3180946487622338	0.3373647542375986	4.5			5.0	32.36912112783884	0.3923587877903506	4.5			5.0			5.0			5.0	1.1744591621571432	0.38996851288280676	4.5			5.0	37.165609331840905	0.7421522018250183	5.0			5.0			5.0			5.0	0.809399231850186	0.583163168922207	5.0			5.0
7809	3.57819206358422			5.0	8.826060261810468	1.819882518274049	5.0	38.5917930659459	2.4726399136990995	8.5	81.26396287207578	1.9173546636157612	5.0	0.6259622569847714	0.4985575927441485	5.0	2.139572483508202	2.2599223994877358	5.0			5.0	13.734912476413063	1.5410627517869973	5.0	26.426872896079836	1.4807554816247939	5.0	63.710771355607655	1.6239452726561847	5.0	0.9918595601911927	0.513408720606299	5.0	2.556596677232842	1.9129390802717443	4.5	35.00433873753868	1.1913690130319445	4.5			5.0			5.0			5.0			5.0			5.0	37.898685241250426	1.0853245085878738	8.0			5.0			5.0			5.0	2.7102973953165432	0.83558826822446	4.5			5.0	38.052206672041834	1.8962270793509908	5.5			5.0			5.0			5.0	2.166890285864118	1.7627860504088482	5.0			5.0	47.533973620545126	3.0889236468631993	5.5			5.0			5.0			5.0	3.25503996211406	2.8718932853330874	5.0			5.0
7892	4.22872754610498			5.0	8.686821273081607	0.5461422872051859	6.0	17.837044720321607	0.47894354425382824	4.5	48.935619291486674	0.5146222427417705	5.5			5.0	2.963183769643408	0.6193125433031195	4.5			5.0	8.83624442771487	0.6055210456995989	5.5	18.576143600912168	0.5818248521153373	5.5	47.829805040118764	0.5209963473989925	4.5			5.0	2.4563971362899446	0.531489954599173	5.0	23.93399828894455	0.2823475842756263	5.5			5.0			5.0			5.0	0.9155709867601737	0.2430447390922023	5.0			5.0	26.469802308994307	0.26579509619852765	4.5			5.0			5.0			5.0	0.48813234816562967	0.2157041163407135	5.0			5.0	25.02216699684451	0.19664972993565305	5.0			5.0			5.0			5.0			5.0			5.0	28.80106113973692	0.30018513129555185	5.0			5.0			5.0			5.0	0.12324850816810232	0.14918195002953494	5.0			5.0
7938	4.80631123887867			5.0	10.175755526922883	1.050424936946648	5.0	23.78915499845181	1.2358106112622822	7.5	62.964718834669114	0.989707475392088	5.5			5.0	3.3099424309925833	1.3054154216260438	5.0			5.0	10.358330818624312	1.2619055044292766	5.0	25.27552508849386	1.3282520147509926	5.0	74.32191381444751	1.3029072992383743	5.0			5.0	2.0097104411048123	1.7159248903663256	5.0	24.780984875232747	0.35955604911785954	6.0			5.0	11.307600796719402	0.24879200123164297	7.0	55.22463000711681	0.2440447375927576	4.5	0.4185688106768825	0.30950064184246456	5.0			5.0	32.412106827210025	0.6566426503889454	6.5			5.0	20.157360836309017	1.9548350649732458	6.0	70.69072091727995	1.91753435844632	5.5	0.7306768588987084	0.5837557609141145	5.0			5.0	24.636070538840684	0.4827494409346164	4.5			5.0	8.936805978466747	0.30320536709432616	5.0	67.53986954620427	0.4205501096245533	4.5	0.2286384035556502	0.5088128313533616	5.0			5.0	33.614285814732376	0.972896599996737	5.0			5.0	27.510811298280885	1.3808560407852988	5.0	77.42146509266281	1.3545075744337018	5.0	0.9946841896277334	1.0256520330219134	5.0			5.0
