NIRSpec_ID	redshift	JADES_FILENAME_F070LP-G140M	JADES_FILENAME_F170LP-G235M	JADES_FILENAME_F290LP-G395M	MAST_FILENAME_F070LP-G140M	MAST_FILENAME_F170LP-G235M	MAST_FILENAME_F290LP-G395M	NAME	Ha_ini	Ha_end	Hb_ini	Hb_end	[OIII]_ini	[OIII]_end
6384	5.61541238216689	hlsp_jades_jwst_nirspec_goods-s-deephst-00006384_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00006384_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00006384_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000013877_nirspec_f290lp-g395m_x1d.fits	Jane	6520	6602	4806	4892	4929	5084
7507	4.04428024657048	hlsp_jades_jwst_nirspec_goods-s-deephst-00007507_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007507_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007507_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009306_nirspec_f290lp-g395m_x1d.fits	Ann	6506	6601	4801	4896	4909	5051
7624	4.854	hlsp_jades_jwst_nirspec_goods-s-deephst-00007624_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007624_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007624_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_b000000113_nirspec_f290lp-g395m_x1d.fits	Mitzi	6531	6574	4793	4819	4914	5062
7762	4.14863310108243	hlsp_jades_jwst_nirspec_goods-s-deephst-00007762_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007762_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007762_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000015157_nirspec_f290lp-g395m_x1d.fits	Hilary	6506	6615	4809	4897	4927	5077
7809	3.57819206358422	hlsp_jades_jwst_nirspec_goods-s-deephst-00007809_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007809_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007809_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009694_nirspec_f290lp-g395m_x1d.fits	Sandy	6506	6615	4809	4897	4927	5077
7892	4.22872754610498	hlsp_jades_jwst_nirspec_goods-s-deephst-00007892_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007892_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007892_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009451_nirspec_f290lp-g395m_x1d.fits	Vera	6510	6610	4811	4882	4930	5073
7938	4.80631123887867	hlsp_jades_jwst_nirspec_goods-s-deephst-00007938_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007938_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007938_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009695_nirspec_f290lp-g395m_x1d.fits	Henrietta	6510	6608	4821	4901	4918	5060
8013	8.47315	hlsp_jades_jwst_nirspec_goods-s-deephst-00008013_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00008013_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00008013_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000006139_nirspec_f290lp-g395m_x1d.fits	Analú	6510	6608	4847	4881	4926	5033
8079	7.258982	hlsp_jades_jwst_nirspec_goods-s-deephst-00008079_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00008079_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00008079_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000005115_nirspec_f290lp-g395m_x1d.fits	Maribel	6510	6620	4815	4910	4918	5060
8083	4.6487198664651	hlsp_jades_jwst_nirspec_goods-s-deephst-00008083_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00008083_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00008083_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009515_nirspec_f290lp-g395m_x1d.fits	Marina	6494	6630	4824	4887	4927	5072
