NIRSpec_ID	redshift	JADES_FILENAME_F070LP-G140M	JADES_FILENAME_F170LP-G235M	JADES_FILENAME_F290LP-G395M	MAST_FILENAME_F070LP-G140M	MAST_FILENAME_F170LP-G235M	MAST_FILENAME_F290LP-G395M	NAME	Ha_ini	Ha_end	Hb_ini	Hb_end	[OIII]_ini	[OIII]_end
10009848	4.37	hlsp_jades_jwst_nirspec_goods-s-deephst-10009848_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10009848_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10009848_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000009848_nirspec_f290lp-g395m_x1d.fits	Dolores	6530	6540	4815	4900	4906	5058
10013545	4.03498294164463	hlsp_jades_jwst_nirspec_goods-s-deephst-10013545_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10013545_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10013545_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000013545_nirspec_f290lp-g395m_x1d.fits	Mileva	6510	6636	4782	4903	4919	5088
10013609	6.928894	hlsp_jades_jwst_nirspec_goods-s-deephst-10013609_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10013609_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10013609_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000013609_nirspec_f290lp-g395m_x1d.fits	Gigi	6545	6593	4829	4881	4922	5042
10013618	5.94372301071691	hlsp_jades_jwst_nirspec_goods-s-deephst-10013618_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10013618_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10013618_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000013618_nirspec_f290lp-g395m_x1d.fits	Alicia	6536	6589	4792	4895	4923	5047
10013620	5.91753186734937	hlsp_jades_jwst_nirspec_goods-s-deephst-10013620_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10013620_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10013620_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000013620_nirspec_f290lp-g395m_x1d.fits	Aline	6539	6590	4820	4898	4906	5078
10013704	5.919825	hlsp_jades_jwst_nirspec_goods-s-deephst-10013704_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10013704_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10013704_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000013704_nirspec_f290lp-g395m_x1d.fits	Nubella	6470	6624	4820	4902	4923	5044
10013905	7.197212	hlsp_jades_jwst_nirspec_goods-s-deephst-10013905_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10013905_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10013905_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000013905_nirspec_f290lp-g395m_x1d.fits	Sara	6470	6624	4820	4902	4923	5044
10015338	5.07627227996806	hlsp_jades_jwst_nirspec_goods-s-deephst-10015338_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10015338_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10015338_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000015338_nirspec_f290lp-g395m_x1d.fits	Valentina	6512	6600	4795	4889	4918	5062
10016186	3.92792643507394	hlsp_jades_jwst_nirspec_goods-s-deephst-10016186_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10016186_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10016186_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000016186_nirspec_f290lp-g395m_x1d.fits	Juanita	6510	6615	4791	4906	4923	5066
10016374	5.50325569707072	hlsp_jades_jwst_nirspec_goods-s-deephst-10016374_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10016374_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10016374_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000016374_nirspec_f290lp-g395m_x1d.fits	Peppa	6506	6614	4825	4904	4923	5059
10035295	3.58892350772953	hlsp_jades_jwst_nirspec_goods-s-deephst-10035295_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10035295_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10035295_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000035295_nirspec_f290lp-g395m_x1d.fits	Dory	6492	6627	4757	4874	4896	5086
10056849	5.8142066790736	hlsp_jades_jwst_nirspec_goods-s-deephst-10056849_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10056849_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-10056849_f290lp-g395m_v1.0_x1d.fits			jw01210-o001_s000056849_nirspec_f290lp-g395m_x1d.fits	Frufrú	6538	6595	4818	4897	4934	5042
