NIRSpec_ID	JADES_FILENAME	MAST_FILENAME	redshift	RA	DEC
16745	hlsp_jades_jwst_nirspec_goods-s-deephst-00016745_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013577_nirspec_clear-prism_x1d.fits	5.56655234405774		
17072	hlsp_jades_jwst_nirspec_goods-s-deephst-00017072_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009849_nirspec_clear-prism_x1d.fits	4.70200977971638		
17260	hlsp_jades_jwst_nirspec_goods-s-deephst-00017260_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013854_nirspec_clear-prism_x1d.fits	4.88512714601353		
17566	hlsp_jades_jwst_nirspec_goods-s-deephst-00017566_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009867_nirspec_clear-prism_x1d.fits	6.101534		
17777	hlsp_jades_jwst_nirspec_goods-s-deephst-00017777_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009858_nirspec_clear-prism_x1d.fits	4.13366013096712		
18028	hlsp_jades_jwst_nirspec_goods-s-deephst-00018028_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013352_nirspec_clear-prism_x1d.fits	3.73094591607022		
18090	hlsp_jades_jwst_nirspec_goods-s-deephst-00018090_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009891_nirspec_clear-prism_x1d.fits	4.77562372049334		
18846	hlsp_jades_jwst_nirspec_goods-s-deephst-00018846_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013197_nirspec_clear-prism_x1d.fits	6.335054		
18970	hlsp_jades_jwst_nirspec_goods-s-deephst-00018970_clear-prism_v1.0_x1d.fits	jw01210-o001_s00000_nirspec_clear-prism_x1d.fits	3.72458828704365		
18976	hlsp_jades_jwst_nirspec_goods-s-deephst-00018976_clear-prism_v1.0_x1d.fits	jw01210-o001_s000008253_nirspec_clear-prism_x1d.fits	6.327052		
19342	hlsp_jades_jwst_nirspec_goods-s-deephst-00019342_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009880_nirspec_clear-prism_x1d.fits	5.974287		
19519	hlsp_jades_jwst_nirspec_goods-s-deephst-00019519_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009873_nirspec_clear-prism_x1d.fits	3.60450973158305		
19606	hlsp_jades_jwst_nirspec_goods-s-deephst-00019606_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009414_nirspec_clear-prism_x1d.fits	5.88913558713673		
20961	hlsp_jades_jwst_nirspec_goods-s-deephst-00020961_clear-prism_v1.0_x1d.fits	jw01210-o001_b000000167_nirspec_clear-prism_x1d.fits	7.04457065169479		
22251	hlsp_jades_jwst_nirspec_goods-s-deephst-00022251_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009842_nirspec_clear-prism_x1d.fits	5.79838391626917		
10000626	hlsp_jades_jwst_nirspec_goods-s-deephst-10000626_clear-prism_v1.0_x1d.fits	jw01210-o001_s000000626_nirspec_clear-prism_x1d.fits	4.46468607001795		
10001587	hlsp_jades_jwst_nirspec_goods-s-deephst-10001587_clear-prism_v1.0_x1d.fits	jw01210-o001_s000001587_nirspec_clear-prism_x1d.fits	3.43070237834676		
10001892	hlsp_jades_jwst_nirspec_goods-s-deephst-10001892_clear-prism_v1.0_x1d.fits	jw01210-o001_s000001892_nirspec_clear-prism_x1d.fits	4.770522		
10005113	hlsp_jades_jwst_nirspec_goods-s-deephst-10005113_clear-prism_v1.0_x1d.fits	jw01210-o001_s000005113_nirspec_clear-prism_x1d.fits	5.820838		
10005217	hlsp_jades_jwst_nirspec_goods-s-deephst-10005217_clear-prism_v1.0_x1d.fits	jw01210-o001_s000005217_nirspec_clear-prism_x1d.fits	4.8883230178694		
10005447	hlsp_jades_jwst_nirspec_goods-s-deephst-10005447_clear-prism_v1.0_x1d.fits	jw01210-o001_s000005447_nirspec_clear-prism_x1d.fits	6.62257640301802		
10009506	hlsp_jades_jwst_nirspec_goods-s-deephst-10009506_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009506_nirspec_clear-prism_x1d.fits	3.59928686455817		
10009693	hlsp_jades_jwst_nirspec_goods-s-deephst-10009693_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009693_nirspec_clear-prism_x1d.fits	6.28599376348805		
10009848	hlsp_jades_jwst_nirspec_goods-s-deephst-10009848_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009848_nirspec_clear-prism_x1d.fits	4.37		
10013545	hlsp_jades_jwst_nirspec_goods-s-deephst-10013545_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013545_nirspec_clear-prism_x1d.fits	4.03498294164463		
10013609	hlsp_jades_jwst_nirspec_goods-s-deephst-10013609_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013609_nirspec_clear-prism_x1d.fits	6.928894		
10013618	hlsp_jades_jwst_nirspec_goods-s-deephst-10013618_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013618_nirspec_clear-prism_x1d.fits	5.94372301071691		
10013620	hlsp_jades_jwst_nirspec_goods-s-deephst-10013620_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013620_nirspec_clear-prism_x1d.fits	5.91753186734937		
10013704	hlsp_jades_jwst_nirspec_goods-s-deephst-10013704_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013704_nirspec_clear-prism_x1d.fits	5.919825		
10013905	hlsp_jades_jwst_nirspec_goods-s-deephst-10013905_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013905_nirspec_clear-prism_x1d.fits	7.197212		
10015338	hlsp_jades_jwst_nirspec_goods-s-deephst-10015338_clear-prism_v1.0_x1d.fits	jw01210-o001_s000015338_nirspec_clear-prism_x1d.fits	5.07627227996806		
10016186	hlsp_jades_jwst_nirspec_goods-s-deephst-10016186_clear-prism_v1.0_x1d.fits	jw01210-o001_s000016186_nirspec_clear-prism_x1d.fits	3.92792643507394		
10016374	hlsp_jades_jwst_nirspec_goods-s-deephst-10016374_clear-prism_v1.0_x1d.fits	jw01210-o001_s000016374_nirspec_clear-prism_x1d.fits	5.50325569707072		
10035295	hlsp_jades_jwst_nirspec_goods-s-deephst-10035295_clear-prism_v1.0_x1d.fits	jw01210-o001_s000035295_nirspec_clear-prism_x1d.fits	3.58892350772953		
10056849	hlsp_jades_jwst_nirspec_goods-s-deephst-10056849_clear-prism_v1.0_x1d.fits	jw01210-o001_s000056849_nirspec_clear-prism_x1d.fits	5.8142066790736		
