z_range	Ha_ini	Ha_end	Hb_ini	Hb_end
z < 3				
3 <= z < 5	6507.333333333333	6618.222222222223	4791.0	4889.740740740741
5 <= z < 7	6527.259259259259	6604.740740740741	4810.814814814815	4892.925925925926
z >= 7	6542.0	6569.0	4815.0	4890.0
