ID	redshift	EW(Ha) MAST	DEW(Ha) MAST	EW(Ha) JADES	DEW(Ha) JADES	EW(Hb) MAST	DEW(Hb) MAST	EW(Hb) JADES	DEW(Hb) JADES	EW([OIII]) MAST	EW([OIII]) unc MAST	EW([OIII]) JADES	EW([OIII]) unc JADES
3184	3.46762	-278.08446283347575	7.837522235888131	-318.5124000521513	7.459667182095466	-25.092049274303104	4.4042865715823	-15.90820675420866	7.247722985703582	-355.6323512845548	6.054807384184892	-446.29473258133646	12.352245279645034
3334	6.70593	-335.8643850113514	98.76179986616371	-386.47669957705216	46.14509387104945	-28.82248459257276	519.1895676024988	49.896422578591455	255.31386925970412	-1183.852349095473	169.1492164968304	-1036.8323573834552	79.24130861757078
3968	5.76847043540196			-261.4424351882795	90.7002153458566			37.6976804088363	205.73611937510987			-337.93212209331864	54.24080329150667
