NIRSpec_ID	redshift	JADES_FILENAME_PRISM	MAST_FILENAME_PRISM	JADES_FILENAME_G140M	JADES_FILENAME_G235M	JADES_FILENAME_G395M	MAST_FILENAME_G140M	MAST_FILENAME_G235M	MAST_FILENAME_G395M	JADES_FILENAME_G395H	MAST_FILENAME_G395H	NAME	Ha_ini	Ha_end	Hb_ini	Hb_end	[OIII4959]_ini	[OIII4959]_end	[OIII5007]_ini	[OIII5007]_end
5759	5.05189382127941	hlsp_jades_jwst_nirspec_goods-s-deephst-00005759_clear-prism_v1.0_x1d.fits	jw01210-o001_s000005233_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00005759_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00005759_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00005759_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_s000005233_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_s000005233_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_s000005233_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00005759_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_s000005233_nirspec_f290lp-g395h_x1d.fits	Giorgina	6558	6571	4858	4873	4953	4968	4997	5025
6002	5.93685818347379	hlsp_jades_jwst_nirspec_goods-s-deephst-00006002_clear-prism_v1.0_x1d.fits	jw01210-o001_s000015125_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00006002_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00006002_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00006002_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_s000015125_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_s000015125_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_s000015125_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00006002_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_s000015125_nirspec_f290lp-g395h_x1d.fits	Lizzy	6558	6569	4856	4869	4955	4963	5002	5013
6246	5.56159788939357	hlsp_jades_jwst_nirspec_goods-s-deephst-00006246_clear-prism_v1.0_x1d.fits	jw01210-o001_b000000258_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00006246_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00006246_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00006246_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_b000000284_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_b000000284_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_b000000284_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00006246_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_b000000284_nirspec_f290lp-g395h_x1d.fits	Mary	6557	6569	4853	4867	4954	4968	4999	5016
6384	5.61541238216689	hlsp_jades_jwst_nirspec_goods-s-deephst-00006384_clear-prism_v1.0_x1d.fits	jw01210-o001_s000013877_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00006384_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00006384_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00006384_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_s000013877_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_s000013877_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_s000013877_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00006384_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_s000013877_nirspec_f290lp-g395h_x1d.fits	Jane	6555	6567	4852	4870	4954	4966	5001	5012
7507	4.04428024657048	hlsp_jades_jwst_nirspec_goods-s-deephst-00007507_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009306_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007507_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007507_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007507_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_s000009306_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_s000009306_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_s000009306_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007507_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_s000009306_nirspec_f290lp-g395h_x1d.fits	Ann	6559	6569	4854	4867	4953	4970	5002	5013
7624	4.8450	hlsp_jades_jwst_nirspec_goods-s-deephst-00007624_clear-prism_v1.0_x1d.fits	jw01210-o001_b000000113_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007624_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007624_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007624_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_b000000269_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_b000000269_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_b000000269_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007624_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_b000000269_nirspec_f290lp-g395h_x1d.fits	Mitzi	6547	6553			4950	4963	5005	5013
7762	4.14863310108243	hlsp_jades_jwst_nirspec_goods-s-deephst-00007762_clear-prism_v1.0_x1d.fits	jw01210-o001_s000015157_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007762_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007762_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007762_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_s000015157_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_s000015157_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_s000015157_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007762_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_s000015157_nirspec_f290lp-g395h_x1d.fits	Hilary	6555	6572	4857	4866	4952	4964	5002	5014
7809	3.57819206358422	hlsp_jades_jwst_nirspec_goods-s-deephst-00007809_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009694_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007809_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007809_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007809_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_s000009694_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_s000009694_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_s000009694_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007809_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_s000009694_nirspec_f290lp-g395h_x1d.fits	Sandy	6553	6571	4857	4867	4948	4967	5000	5014
7892	4.22872754610498	hlsp_jades_jwst_nirspec_goods-s-deephst-00007892_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009451_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007892_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007892_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007892_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_s000009451_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_s000009451_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_s000009451_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007892_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_s000009451_nirspec_f290lp-g395h_x1d.fits	Vera	6553	6574	4856	4866	4952	4964	4999	5018
7938	4.80631123887867	hlsp_jades_jwst_nirspec_goods-s-deephst-00007938_clear-prism_v1.0_x1d.fits	jw01210-o001_s000009695_nirspec_clear-prism_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007938_f070lp-g140m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007938_f170lp-g235m_v1.0_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007938_f290lp-g395m_v1.0_x1d.fits	jw01210-o001_s000009695_nirspec_f070lp-g140m_x1d.fits	jw01210-o001_s000009695_nirspec_f170lp-g235m_x1d.fits	jw01210-o001_s000009695_nirspec_f290lp-g395m_x1d.fits	hlsp_jades_jwst_nirspec_goods-s-deephst-00007938_f290lp-g395h_v1.0_x1d.fits	jw01210-o001_s000009695_nirspec_f290lp-g395h_x1d.fits	Henrietta	6556	6570	4856	4868	4953	4963	4996	5020
